0x001584  身在這個被茂密樹林包圍的山間小徑裡，
0x001F86  這樣都太嚴重了一點吧。
0x001F9E  …………
0x001FA8  啊啊，這應該是羅弗利搞的鬼吧。
0x001FC8  ……那個傢伙。
0x001FD8  …………
0x001FE2  父親大人？
0x001FEE  …………
0x001FF8  妳，長大了呢……
0x00200A  看來大家都很照顧妳呢。
0x002022  是的，奎絲忒一直都是個乖孩子唷☆
0x002044  為了能夠在見到父親大人的時候……
0x002066  能夠很確實地這樣回答，
0x00207E  我一直都很努力呢！
0x002092  奎絲忒……
0x00209E  …………
0x0020A8  妳是十四年出生的對吧。
0x0020C0  妳跟他分開的時候，那是十七年的夏天。
0x0020E6  那時候，妳才剛滿三歲對吧？
0x002102  …………
0x00210C  從這麼小的時候，
0x00211E  就因為與父親別離而哀傷哭泣呀。
0x00213E  到現在都還沒有辦法忘記……
0x00215A  就算那是事實，老師，您所說的話……
0x00217E  就是那種會讓人誤解的說法呀。
0x00219C  …………
0x0021A6  你剛剛說會引起誰∼∼∼的誤解啊？？
0x0021CA  難道會是在．說．我∼？？？
0x0021E6  ……法娜。
0x0021F2  從實招來，
0x0021FE  她到底是你什麼時候生的小孩！？
0x00221E  …………
0x002228  …………
0x002232  但是，都已經養到這麼大了……
0x002250  那師母現在是在哪裡呢？
0x002268  ……瑟希莉絲，連妳都誤會了嗎？
0x002288  …………
0x002292  那你就快點說清楚講明白呀。
0x0022AE  那麼，今天就來開個盛大的慶祝宴會吧。
0x0022D4  ……嘖。
0x0022DE  快點快點！！！
0x0022EE  ……這樣真的好嗎。
0x002302  …………
0x00230C  不要玩得太過火啦，妳這個小笨蛋，
0x00232E  奎絲忒是他撿來的孤兒。
0x002346  …………
0x002350  唉呀。
0x002358  啊……
0x002360  …………
0x00236A  好啦，其實這也不是什麼大事啦。
0x00238A  當然，也不是要你從今天開始收養奎絲忒啦。
0x0023B4  是的……
0x0023BE  讓您困擾了，真是抱歉……
0x0023D8  奎絲忒……
0x0023E4  我呀，沒有爸爸也沒有媽媽。
0x002400  但是呢，我有對我很溫柔的爺爺與奶奶。
0x002426  也有曾經溫柔地將我抱在懷中的父親。
0x00244A  從那一天開始，我就是您的女兒了。
0x00246C  …………
0x002476  …………
0x002480  各位……
0x00248A  我這樣好像要一個人獨占老師了一樣，
0x0024AE  對不起……
0x0024BA  唉呀呀，啊哈哈，真是傷腦筋呀。
0x0024DA  我才要跟妳道歉呢。
0x0024EE  我是法娜。
0x0024FA  我剛剛做的事情，還真是該打呀，抱歉抱歉。
0x002524  妳是奈比洛斯門下的？
0x00253A  聖瑟維艾斯的法娜學姊？
0x002552  嗯，妳有聽說過呀？
0x002566  妳有聽說過我？
0x002576  呵呵，還真是跟我想像中一樣的人呢。
0x0025A0  妳是個非常溫暖的人呢。
0x0025B8  嗚∼∼∼真想好好抱妳一下！！
0x0025D6  然後這邊的是，瑟希莉絲學姊。
0x0025F4  聽說妳是奧爾菲老師最珍愛的高材生呢。
0x00261A  欸，呃。
0x002624  其實……
0x00262E  其實沒有那種事啦……
0x002644  …………
0x00264E  嘿，這是你們的第一個學妹呢，
0x00266C  不好好地自我介紹一下嗎？
0x002686  啊，我是瑟希莉絲。
0x00269A  瑟希莉絲•芬諾忒。
0x0026AE  而妳是奎斯特……
0x0026C0  …………
0x0026CA  我是奎絲忒•脩諾索！！
0x0026E2  那，今後就請妳多多指教囉……？
0x002702  是的！！
0x00270C  我會好好努力的！！
0x002720  …………
0x00272A  多多指教啊，奎絲忒。
0x002740  是的☆
0x002748  請各位多多指教了！！
