0x001268  為什麼……
0x001D1C  只要是有能力的人，不論再來多少都可以。
0x001D44  …………
0x001D4E  無論是什麼事情也好，
0x001D64  為了完成我們的誓願……
0x001D7C  別說了……
0x001D88  這兩件事沒有關係。
0x001D9C  …………
0x001DA6  如果我們奪走了白銀的薔薇……
0x001DC4  純潔之盾將會枯萎。
0x001DD8  然而，讓他們繼續生存的話，
0x001DF4  總有一天也會變成我們的棋子。
0x001E12  ……你是說伊諾森提雅嗎？
0x001E2C  哼，你別說笑了……
0x001E40  為了拯救愛爾梅納斯……
0x001E58  能夠多掌控一些棋子總是比較有利呀。
0x001E7C  不依賴其他人的力量就能解決問題，
0x001E9E  這才是帕蘭達因所希望看到的結局。
0x001EC0  沒錯，在眺望萬物的尖塔還有餘裕的時候，
0x001EE8  就算要用強硬的手段搶奪也好，
0x001F06  也要把白銀的薔薇引導到我們這邊。
0x001F28  …………
0x001F32  呼呼……真拿你沒辦法呀。
0x001F4C  好吧，以後就照你的意思去做吧……
0x001F6E  …………
0x001F78  那麼……
0x001F82  接下來暫時會有一段時間沒辦法見面，
0x001FA6  請你要多加保重了。
0x001FBA  莉莉絲、謬菈。
0x001FCA  奧吉爾就拜託妳們了。
0x001FE0  他對我們來說，可是很重要的人物啊。
0x002004  沒問題∼∼
0x002010  …………
0x002020  另外，威斯卡呀，你有在聽我們說話吧？
0x002046  你要好好地盯著純潔之盾啊。
0x002062  …………
0x00206C  差不多……該離開了吧。
0x002084  …………
0x00208E  只要這裡還像以前一樣可靠的話……
0x0020B0  …………
0x0020BA  那麼。
0x0020C2  我們走了吧。
0x0020D0  前往那從古時候就被掩埋的沉思之都？
0x0020F4  …………
