0x002250  我誠心惶恐地向你們請求……
0x0037B4  這與那無關！！
0x0037C4  這是你態度上的問題不是嗎！
0x0037E0  …………
0x0037EA  算了，夠了。
0x0037F8  而且你也不會讓我參加什麼考試嘛。
0x00381A  就算你不參加考試也沒關係呀。
0x003838  反正妳也只有這種程度的力量和血統而已。
0x003860  ……你這個人哪，
0x003872  還真的是完全信仰二分法哪。
0x003896  不過呢，在這裡學習魔法真的很快樂呢。
0x0038BC  因為鮑貝斯老師會用比較容易瞭解的方法來教
0x0038EC  …………
0x0038F6  但是我還是想接受考試！！
0x003910  我想知道我的力量究竟到了什麼樣的程度！
0x003938  …………
0x003942  以妳現在的程度，
0x003954  是不可能通過帕蘭達因的考試的。
0x003974  在這裡，魔法就是一切呀。
0x00398E  不試試看怎麼會知道呢？
0x0039A6  這種事情就算不用試也知道！！
0x0039C4  在帕蘭達因，理性與邏輯就是一切！
0x0039E6  沒有辦法說明的事物，就不能被稱為魔法！！
0x003A10  …………
0x003A1A  雖然所謂的奇蹟偶爾還是會發生，
0x003A3A  但是那個在這裡，根本就一點意義也沒有！！
0x003A64  …………
0x003A6E  啊……
0x003A76  ……抱歉。
0x003A82  ……這樣的話，會很寂寞的唷。
0x003AA0  這樣生活的話，會很無聊的唷！！
0x003AC0  ……是這樣嗎？
0x003AD0  也許，真的是這樣吧。
0x003AE6  …………
0x003AF0  ……對不起。
0x003AFE  我也說了很過分的話呀。
0x003B16  …………
0x003B20  欸……
0x003B28  那個在深遂的森林裡頭，叫安蒂米昂的地方，
0x003B52  你知道在哪嗎？
0x003B62  …………
0x003B6C  是蓋在湖心島上，一個很高大的城堡對吧？
0x003B94  在南北兩邊都有長長的拱橋對吧？
0x003BB4  妳想要離開了對不對？
0x003BCA  離開這裡？
0x003BD6  ……對不起。
0x003BE4  不，這樣也好。
0x003BF4  對妳來說，說不定那裡會比較好。
0x003C14  聽說那裡的風氣一向很自由。
0x003C34  妳是要去伊諾森提雅對吧？
0x003C4E  ……其實我也不是很清楚。
0x003C68  ……那裡很遠唷，真的。
0x003C80  我對我的腳力可是很有自信呢。
0x003C9E  很危險的耶。
0x003CAC  我對我的腳力可是很有自信呢。
0x003CCA  …………
0x003CD4  嗯？？？
0x003CDE  好吧，算我輸給妳了。
0x003CF4  ……妳就拿著這個去吧。
0x003D0C  ……好漂亮∼
0x003D1A  ……妳是個路痴對吧？
0x003D30  那個首飾呀，
0x003D3E  會永遠都指向伊諾森提雅的方向。
0x003D5E  總有一天，妳一定會走到的。
0x003D7A  這真的可以給我嗎？
0x003D8E  嗯嗯。
0x003D96  這……對你來說一定是很重要的東西吧？
0x003DBC  那我可不能收呀。
0x003DCE  這個呀，是我以前的朋友給我的。
0x003DEE  他當初也跟妳一樣去了伊諾森提雅，
0x003E10  不過他現在究竟怎樣了，我也不知道。
0x003E34  既然這樣的話，我就更不能拿走了！
0x003E56  還給你！！
0x003E62  …………
0x003E6C  如果以後再見面的話，那時候再還給我吧。
0x003E94  我想，以後還有機會可以見面吧。
0x003EB4  不過，如果現在妳不帶著那個的話，
0x003ED6  我是不可能會讓妳離開的。
0x003EF0  …………
0x003EFA  因為我沒有辦法親自送妳一程呀。
0x003F1A  ……謝謝你。
0x003F28  …………
0x003F38  我們還能夠再見面吧？
0x003F4E  嗯嗯，跟妳在一起很快樂呢。
0x003F6A  我也是！
0x003F7A  那，我要走囉！
0x003F8A  凱洛特。
0x003F98  就算痛苦，也千萬不要放棄愛爾梅納斯呀。
0x003FC0  我希望，能夠和像妳這樣的人相處在一起。
0x003FE8  謝謝！
0x003FF0  那，希望幸運的弓弦在你的身邊清響。
0x004014  嗯嗯，謝謝。
0x004022  再見！！
0x00402C  幸運的弓弦……是嗎？
0x004042  《結果最後變成了這樣呀，
0x004088  《……只要她可以平安無事的話，
0x0040A8  　那就夠了。
0x0040B6  　真是不可思議，我竟然會有這樣的感覺。》
