0x0013B4  妳果然也安然無事呢，帕彌菈。
0x001A6A  羅沙麗亞學姊。
0x001A7A  羅沙麗亞學姊。
0x001A8A  …………
0x001A94  好久不見了，瑟希莉絲、伊里安。
0x001AB4  為什麼……
0x001AC0  …………
0x001ACA  到底……
0x001AD4  到底是尋找到了什麼樣的目標呢？
0x001AF4  原諒我……
0x001B00  現在，不是我們可以一同奮鬥的時機。
0x001B24  羅沙麗亞學姊。
0x001B34  好不容易才能這樣地再次相見，
0x001B52  不是嗎……？
0x001B60  為什麼非得跟我們分開呢？
0x001B7A  您明明就一直這樣地領導著伊諾森提雅，
0x001BA0  一直領導我們到了今天，不是嗎……？
0x001BC4  …………
0x001BCE  為什麼！？
0x001BDA  帕彌菈學姊，
0x001BE8  求求您說些什麼話挽留她吧……！
0x001C08  就正因為是在這樣的時候……
0x001C24  才會有這麼無轉圜餘地的事情發生呀。
0x001C48  怎麼這樣……
0x001C56  …………
0x001C60  那麼……奧吉爾學長呢？
0x001C78  如果是奧吉爾學長的話，
0x001C90  一定不會棄我們於不顧吧……？
0x001CAE  就算他現在隸屬於帕蘭達因，
0x001CCA  他也一定會回來這裡吧！！
0x001CE4  …………
0x001CEE  真的是這樣嗎，瑟希莉絲、伊里安？
0x001D10  只有身處在同樣的地方，
0x001D28  才能稱為同心協力嗎？
0x001D3E  雖然各自分散在遙遠的彼方，是這麼地痛苦。
0x001D68  …………
0x001D72  忍受著那無法跟我們共同患難的痛苦，
0x001D96  並且充滿勇氣地來到我們面前道別。
0x001DB8  充滿勇氣地，來與我們道別。
0x001DD4  ……勇氣？
0x001DE0  是啊。
0x001DE8  如果只是要拋棄我們的話，
0x001E02  又何必特地回來跟我們道別呢？
0x001E20  …………
0x001E2A  對於未來一定會面臨的埋怨，
0x001E46  他們已經有所覺悟，
0x001E5A  為了要完成使命，
0x001E6C  必須勇敢地獨自去面對。
0x001E84  這樣……是、是這樣嗎？
0x001E9C  擦乾妳的眼淚吧，瑟希莉絲。
0x001EB8  可、可是……
0x001EC6  好不容易能夠再次、再次…
0x001EE0  在這裡重逢……
0x001EF0  只要妳還像現在這樣地在愛爾梅納斯修行，
0x001F18  總有一天……
0x001F26  妳也會跟現在的帕彌菈一樣，
0x001F42  引導著後進的孩子們。
0x001F58  引導著那些還不曾相遇的孩子們。
0x001F78  您是說我嗎……？
0x001F8A  所以呀，不可以垂頭喪氣的。
0x001FA6  不可以總是停滯不前。
0x001FBC  因為這一切都是為了有一天，
0x001FD8  妳必須回報那曾經接受的一切栽培與關愛。
0x002000  ……那種事情我做不到！
0x002018  像我這樣的人，我做不到……！！
0x002038  瑟希莉絲……
0x002046  ……總有一天，
0x002056  我將不再離開這純潔無垢的家園。
0x002076  我會永遠守護她。
0x002088  嗯嗯，羅沙麗亞。
0x00209A  我能夠理解。
0x0020A8  我會支撐下去的，直到妳回來的那一天。
0x0020CE  與妳相知相惜的友誼，是我今生的驕傲。
0x0020F4  從今以後也不會改變。
0x00210A  是啊，從今以後，直到永遠……
0x002128  那麼，要捨棄我們了嗎？
0x002140  從今以後……
0x00214E  就要把我們給拋棄了嗎……？
0x00216A  瑟希莉絲……
0x002178  我才不要，這…
0x002188  這樣的事情，我絕對不接受……！
0x0021A8  現在的妳沒有辦法體諒，
0x0021C0  這也是無可奈何的事情。
0x0021D8  ……然而，總有一天妳會瞭解，
0x0021F6  然後毫無迷惘地迎向自己的未來。
0x002216  羅沙麗亞、學姊……！
0x00222C  …………
0x002236  請妳多保重……
0x002246  啊啊，大家也要多保重啊。
0x002260  ……別了，純潔之盾。
0x002276  暫別了，曾與你們共同生活的、我的家園呀。
0x0022A0  至少我可以為你們祈禱，祈禱你們的道路上，
0x0022CA  不再遭受那混沌的紛擾。
0x0022E2  啊啊，我也是這樣地盼望著，
0x0022FE  再見了，羅沙麗亞•奧笛納。
0x00231A  一定要成為偉大的先知呀。
