0x00181A  能夠這樣地迎接新的一年……
0x002558  但卻只有我一個人在原地踏步，
0x002576  好像被拋在後面一樣。
0x00258C  帕彌菈學姊……
0x00259C  ……以你們今天的技巧跟力量來說，
0x0025BE  也許已經沒有需要擔心的敵人了吧。
0x0025E0  …………
0x0025EA  但是在為了夢想而前進的道路上，
0x00260A  只要一直抱著「就算只有一點點也好，
0x00262E  也希望可以勝過某個人」的心情，
0x00264E  與對方之間的差距，也就自然會日漸縮短。
0x002676  別放棄努力呀。
0x002686  就算只能進步一點點也好，也要往前努力。
0x0026AE  總有一天，你們一定可以超越我，
0x0026CE  充滿自信地開始你們的旅程。
0x0026EA  我……
0x0026F2  我……
0x0026FA  伊里安……
0x002706  帕彌菈學姊……
0x002716  怎麼了嗎？
0x002728  那個……
0x002738  再見了……
0x002744  嗯嗯，再見了，伊里安。
0x00275C  你心中的感覺，現在，我感同身受。
0x00277E  希望你能與你胸中翻騰的思念，
0x00279C  一同好好努力。
0x0027AC  …………
0x0027B6  ……別了。
0x0027C2  直到我們能夠再度相逢的那一天。
0x0027E8  希望妳……
0x0027F4  可以好好地保重。
0x002806  …………
0x002810  大家再見了。
0x00281E  和大家一起度過的日子，真的非常快樂。
0x002844  …………
0x00284E  帕彌菈學姊……
0x00285E  …………
0x002868  ……如果帕彌菈的道路是通往那個方向的話。
0x002892  我們就會支持妳的。
0x0028A6  這就是純潔之盾的誓約。
0x0028BE  …………
0x0028C8  …………
0x0028D2  請妳全心全意地去努力吧。
0x0028EC  ……是的。
