0x002D14  物理方面擁有比較強的攻擊力與防禦力。
0x00382A  雖然如此，我仍然喜歡提倡風的魔法，原因是……
0x00385C  當然還是因為它不受狀況限制，
0x00387A  可以很快地發揮出如同術者所希望的安定力量的緣故吧。
0x0038B2  所謂的「迅速」，
0x0038C4  是無論什麼時候，在什麼樣的狀況之下，都必須要好好考量
0x0038FA  的一個要素。
0x003908  所以，這一次，我想偏重於風屬性魔法的教學。
0x003934  這次課程內容是針對敏銳、道德、智力、精神等所做的鍛鍊
0x00396E  有時候透過這種課程鍛鍊多種體能，
0x003990  累積各式各樣的經驗
0x0039A4  ，會有很不錯的成效。
0x0039BA  我是德涅西亞•露弗鐸可勞。
0x0039D6  雖然我也被人們尊稱為羽翼之長，
0x0039F6  但其實我也跟一枝無親無故的無根草沒什麼兩樣。
0x003A28  當我的年紀跟你們差不多大的時候，是的，我碰上了一位魔
0x003A66  我被他那卓越的咒文深深地吸引，為了能成為他的弟子而作
0x003A9C  了各式各樣的努力。
0x003AB0  如果有喜歡的事物，就要儘量去精通它。
0x003ADA  而如果我所擅長的風之魔法可以幫助你們找出自己所喜歡的
0x003B10  事物的話……
0x003B1E  那真的是十分令人開心。
0x003B36  呼嗯，沒想到你們竟然還肯聽我這個老頭子說話呀？
0x003B66  如果是這樣的話，那麼我們就快點開始來上課吧。
0x003B98  課程教學的主要內容裡，有許多在冒險裡沒辦法學到的事物
0x003BD2  特別是如果想學會更多技能的話，就得要多多上課了。
0x003C04  學習自己有興趣的課程當然會有進步，
0x003C28  同時，修習那些與自己興趣有密切關係的課程也是，
0x003C58  除了能力會有所提升以外，也會額外學會一些技能。
0x003C8C  這個課程教學的優點，應該就是讓你不會把精神分散在不同
0x003CC2  的領域，而可以專門地去修練某一種吧。
0x003CEC  我還真是一開始就說了一大堆有的沒有的……
0x003D16  接下來，我就把坐在書桌前求學、
0x003D36  以及對某種事物奉獻熱情的樂趣傳達給各位吧。
0x003D62  冒險的特徵，無論如何，
0x003D7A  應該就是透過實戰來累積許多的經驗吧。
0x003DA4  當然，可以獲得許多被埋藏的祕寶，
0x003DC6  這也是值得一提的特點。
0x003DDE  另外，有時候在冒險中也可以學會新的技能。
0x003E0C  但是要在冒險中追求某種特定的技能是很困難的。
0x003E3A  應該只有這一點是要特別注意的。
0x003E5A  雖然以我的能力來說，想要去教導別人是有點太過牽強，
0x003E8E  但是，無論如何，如果是要傳達繪畫的樂趣給別人的話，
0x003EC2  我想我應該還做得到吧。
0x003EDE  這堂課的內容，當然就是繪畫了。
0x003F02  首先呢，就是由自己試著畫畫看開始。
0x003F26  觀察、了解、接觸、描繪，然後從遠方審視自己的作品。
0x003F5A  重複這些步驟，反芻其中的心得，
0x003F7A  那將會在各式各樣的情況下發揮功用。
0x003F9E  我是法爾德•貝利斯。
0x003FB4  過去大致上是以僧侶的身分一路活到了現在，
0x003FDE  曾經到過各式各樣的地方遊歷，身體還算滿硬朗的。
0x004012  在這條漫長的人生路上，當然也碰過一些非得手持刀劍戰鬥
0x004048  的時候。
0x004052  但有點不可思議地，後來反而變成日常生活中根本沒有人能
0x004088  看得出來我是一個僧侶了。
0x0040A6  雖然身兼不同的職業是會有一點無法兼顧的情況發生，
0x0040D8  然而，有時候就因為我是這樣的人，才有我可以發揮的空間
0x004112  魔法是我最有自信的專長，如果你們的心靈能夠完全接受我
0x004148  的教學的話，
0x004156  也許馬上就能學會一些新的技能也說不定。
0x004182  雖然如此，但人也會有抓住要領跟抓不住要領的時候，
0x0041B4  一旦下定決心要學會某種東西的話，
0x0041D6  就千萬別讓這份思念斷了。
0x0041F4  要恆心地、長期地去努力才是學習魔法最重要的訣竅。
0x004226  這是我的心得。
0x004236  那麼，你們到底打算怎麼做呢？
0x004254  我所學習的魔法分成光明與黑闇兩種領域。
0x00427C  雖然二者無法相容，但卻也有無法切斷的深厚關係，
0x0042AC  因為這層關係，也讓人們對它們產生了不少誤會，
0x0042DA  這也是事實。
0x0042EC  對於不了解箇中奧妙的人們來說，黑闇並不代表著安寧……
0x004322  反而是會讓他們想起恐怖與邪惡的存在吧。
0x00434E  不過，這樣地去挑戰一個被人所誤會的領域，
0x004378  也是一個不錯的經驗，不是嗎？
0x004396  我帕佩修•斐可，本來只想在這裡停留一段短暫的時間，
0x0043CA  但是卻意外地發現這裡是一個令人感覺很好的地方，
0x0043FA  所以就長住下來了……
0x004414  既然如此，就算是一宿一餐的恩情，我也得要報答你們哪。
0x00444E  一個擁有優秀的獵人的地方，不論是村落也好、城市也好、
0x004484  國家也好，
0x004490  一定都會產生不小的光榮吧。
0x0044B0  劍士也不一定能夠阻擋野鹿；
0x0044CC  就算是偉大的魔法師，如果與精靈的力量為敵，
0x0044F8  那也並不是明智的舉動。
0x004514  既然如此，如果你們願意好好聽我說話的話……
0x004540  希望你們能夠抱持著自信，確實地去鍛鍊自己。
0x00456C  不論是要戰鬥也好、狩獵也好，集中力都是很重要的。
0x00459E  還有最重要的就是，一定要去抓住那種「就是這樣了吧！」
0x0045D4  的感覺。
0x0045E2  雖然，如果照這種原則去修行的話，
0x004604  可能會被別人說是一個固執或是龜毛的傢伙，
0x00462E  不過，事實上，也就是要那樣呀。
0x004652  對我來說呀，太強大的力量或是過多的知識跟品德都是不必
0x004688  要的。
0x004690  把那些礙手礙腳的事情丟到一邊，
0x0046B0  我們還是好好練習切削與雕刻木頭吧。
0x0046D4  如果在完全不用心去想的情況下，
0x0046F4  也能夠持續地雕刻出一個成品的話，
0x004716  那你們的箭，就不可能落在對手要害以外的地方了。
0x004746  你們想聽聽看有關於弓的知識？
0x004764  唉呀，雖然弓這種東西不是一兩句話就可以說清楚的……
0x00479C  一把好弓呀，它的弦所發出的響聲也是悅耳的。
0x0047C8  但是呢，如果拉動弓弦的人不得其法的話，
0x0047F0  難得的旋律也就會被蹧蹋了。
0x004810  如果你希望能夠配合著前衛的心意去奏出和諧的合音，
0x004842  就算只有稍微地配合也好，那現在不就正是個好機會嗎？
0x004876  就好像光明與黑闇的對應一樣，
0x0048B4  如果想要直接地面對敵人，堂堂正正地戰鬥的話；
0x0048E2  那麼，你就是屬於表的領域……
0x004900  那麼，比較喜歡旁敲側擊，在周詳計畫之後設下陷阱的話，
0x00498A  所以如果你們今後還想要正常地生活下去的話，
0x0049E2  其實，如果可以的話，我也不想教導你們這些技巧。
0x004A12  畢竟，要讓獵人用劍去戰鬥也實在是……
0x004A38  這樣的事情，實在是不可以的。
0x004A5A  不過呢，在漫長的人生中，總是會碰到一兩次艱苦的困境。
0x004A90  如果碰到了危急的情況時，
0x004AAA  自己不拿弓就沒辦法戰鬥的話……
0x004ACA  那麼，總會一天你們會因為這種缺陷而有苦說不出的。
0x004B00  如果是這樣的話，那也就只有學習持劍戰鬥一途了。
0x004B30  對獵人來說，行動能夠更為敏捷是很好的。
0x004B58  而對劍士來說，學會了獵人的技巧也會有很大的幫助。
0x004B8E  當然啦，就算你們的職業不是獵人……
0x004BB2  我也不會對你們的訓練有所保留的，這一點可以請你們放心
0x004BEC  如果你想要專精於獵人這一門職業的話，
0x004C12  我當然會推薦你來這裡跟我學習。
0x004C36  但是呢，對獵人來說，均衡感還是最重要的命脈。
0x004C64  希望你們能小心不要為了追求極限而喪失了這個重要的感覺
0x004CA2  知道了嗎？
0x004CAE  因為當你們喪失了那種感覺的時候，
0x004CD0  可能真的也只剩下「啊」地慘叫一聲的時間了。
0x004CFC  我是薛利爾•崔諾瓦。
0x004D12  在能夠回到聖瑟維艾斯以前……
0x004D30  我會留在純潔之盾負責輔佐官的職務。
0x004D58  當然，我的能力還比不上奈比洛斯閣下與法爾德閣下。
0x004D8A  但是，只要能這樣地與大家待在一起。
0x004DAE  我就會全心全意地去努力的。
0x004DCA  請各位多多指教了。
0x004DDE  僧侶所歌誦的光明話語，
0x004DF6  事實上跟種類繁多的治癒咒文是同一種東西。
0x004E24  因此，如果缺少了治癒傷痛的力量，
0x004E46  就等於是沒有自稱為僧侶的資格。
0x004E66  我也還是正在學習中的學生。
0x004E82  大家一起來努力吧。
0x004E96  ……與光明相對的力量，支撐活動的寂靜。
0x004EBE  我希望可以教導你們這司掌安寧的闇黑力量。
0x004EEC  就是因為會遭受人們誤解，被冠上毫無根據的罪名，
0x004F1C  所以我們也不用去逃避或是隱藏什麼，
0x004F40  只要用一份真誠的心意去面對就好。
0x004F66  希望你們可以了解這黑闇的形貌與思念……
0x004F8E  並且同時去感受與學習闇黑的祕術。
0x004FB0  為了學級、為了愛爾梅納斯而奉獻心力，
0x004FD6  這就是這門課程的目的。
0x004FF2  特別值得一提的，
0x005004  應該就是在這門課程中所得到的經驗是學級公有的，
0x005034  所以可以自由地去分配給每一個人使用。
0x00505E  希望各位可以用心地去學習這門課程。
0x005082  沉默之行，是聖瑟維艾斯學級入門的第一堂課，
0x0050AE  同時也是最重要的一門課程。
0x0050CE  我認為，就算是在純潔之盾裡，
0x0050EC  也可以期待這門課程發揮一定的功效。
0x005114  垂下雙眼，保持沉默……
0x00512C  那是不是就表示要逃避現實中的一切了呢？
0x005154  不是的。
0x00515E  那是為了豎起耳朵傾聽內心深處的聲音，
0x005184  那是為了去識見自己胸中閃耀的燈火。
0x0051A8  那是為了要把眼光望向自己心中那從來沒有被耕耘過的庭園
0x0051E6  ……難道你們不是已經忘記了嗎？
0x005206  忘記了要去解讀那早已刻畫在你們心中的規範。
0x005232  難道是因為那實在太接近自己，所以反而忽略了嗎？
0x005262  首先，我所要說的事情有三項。
0x005280  這些事情，無論是面對什麼樣的人都要做到。
0x0052AA  至少，這是我芭特菈•費德林斯克所體驗的心得。
0x0052DC  第一，在打招呼的時候要有精神，而且必須要顧慮到對方的
0x005312  心情。
0x00531E  第二，回答別人的時候要清楚地、發自內心地回答。
0x005352  第三，對於自己的錯誤要全力地去彌補，不要害怕去道歉。
0x00538C  這些是大家都可以做到的事情，那麼，就大家一起去做吧？
0x0053C2  「比起學習知識，更要擁有智慧。」
0x0053E4  雖然這是一句相當沉重的話，但只要對它有一定的了解，
0x005418  也就不會因此而困擾了。
0x005434  如果說活用道具的力量就是智慧的話，
0x005458  那道具本身就是知識。
0x005472  同理觀之，就像道具本身是沒有善惡可言的，
0x00549C  知識也是純粹而無垢的。
0x0054B8  無論如何，要去使用它的都是你自己。
0x0054DC  不過，至少不要忘記了要時常去整修你的道具呀。
0x00550A  在這個世界上，應該沒有比魔法還要種類繁多的學問了。
0x00553E  在這裡的人，應該都是想要用盡心力來學習水的魔法吧？
0x005576  關於水的魔法，最重要的就是要秉持一種柔軟的態度。
0x0055A8  如果能有一顆不受任何成見拘束的心，
0x0055CC  那麼，不只是魔法師得向你學習，
0x0055EC  你也已經有資格去教導所有的人了吧。
0x005614  雖然像帕佩修他們所說的也是正確的……
0x00563A  「在這個世界上，萬事萬物都有值得我們學習的地方。」
0x005672  唉呀，很少有人從一開始就可以順利地學習所有的事物。
0x0056A6  總之，只要心裡先有可能會失敗的覺悟，
0x0056CC  然後再好好地去挑戰就好了。
0x0056E8  在魔法的領域中，
0x0056FA  大地的屬性大致上是防守與保護的方面比較專精。
0x005728  在漫長的戰鬥之路上，
0x00573E  這對大家來說應該會是很珍貴的能力吧。
0x005768  另外呢，大地的魔法與羽翼之長所擅長的風之魔法是屬於相
0x00579E  反的屬性。
0x0057AE  因此，到目前為止，
0x0057C2  純潔之盾的各位應該不太有機會接觸大地魔法吧？
0x0057F0  如果能有一兩個人能夠使用大地魔法的話，
0x005818  一定可以為純潔之盾帶來很多好處吧。
0x005878  我是傑萊特•羅弗利。
0x00588E  雖然名義上是個僧侶……
0x0058A6  不過呢，我也轉換過各種各樣的職業啦。
0x0058D0  有關僧侶方面的知識，我想還是交給薛莉爾老師吧……
0x005902  相對地，我比較想來教導各位使用巨劍的技巧。
0x00592E  不過咧，我以前也的確被別人說成是一個不可靠的重戰士啦
0x005964  ，但是，要是跟你們這些黃毛小子比起來的話，
0x005990  我是不可能會輸的。
0x0059A8  如果時機到的話，不管是什麼樣的事情我都可以勝任……
0x0059DC  不過呢，在現在的學舍裡，大概是沒辦法有什麼作為吧。
0x005A14  總之，純潔之盾撿到了我這塊寶還真是幸運呢。
0x005A40  事實上，我並不覺得教導各位這種東西是沒什麼用處的。
0x005A74  雖然要怎麼樣用風雅的詞句去完整地敘述一件事情，
0x005AA4  也是有很大的學問的。
0x005ABA  但是……
0x005AC4  就是有人在聽到了吟遊詩人唱頌的傳說或是軼事之後，
0x005AF6  眼中會透露出充滿興趣的光芒、將身體靠前去側耳傾聽。
0x005B2E  那眼神會筆直地落在講述故事的人身上。
0x005B54  你們大家不想見識看看嗎？
0x005B6E  那充滿興奮的眼中所透露出的神色。
0x005B90  在吟唱聖歌的時候，
0x005BA4  最重要的不是要去了解那詩歌的意義或是發音準不準確，
0x005BD8  也不是要為了表現莊嚴的效果與華麗的聲音而互相競爭。
0x005C10  重要的事情就只有一件，那就是要配合著大家的步調去唱。
0x005C4A  而為了能夠有一個統一的步調，
0x005C68  所以我們才不得不去了解聖歌的發音與歌詞的意義。
0x005C9C  瞭解了嗎？
0x005CA8  別把目的與手段混淆囉。
0x005CC0  如果連這一點都做不到的話……
0x005CDE  那麼你們所學會的魔法，恐怕也只會是一些小技倆而已。
0x005D12  真是的，這種師資缺乏的狀態不能再持續下去了呀。
0x005D42  雖然這也是我曾經承諾過的事情，
0x005D62  不過……還真是想不到呀，
0x005D7C  要叫我來指導重戰士的時刻居然真的來臨了。
0x005DA6  ……的確，老實說我並不討厭劍這種武器。
0x005DCE  不，也許應該說我很喜歡它吧。
0x005DF0  然而很悲哀的是，正因為喜歡它，
0x005E10  所以也會對它有相同程度的憐惜。
0x005E34  就算如此，唉呀，該怎麼說咧。
0x005E52  比起被鎖匙之長教導劍術的那些人來說……
0x005E7A  說不定你們還算是真的有學到一點東西吧。
0x005EA2  這是個開朗、熱鬧，同時也很活潑的……很好的學級。
0x005ED4  想想看，其實這裡也有才剛剛加入沒多久的孩子們。
0x005F04  而我也和他們一樣，打算著要好好地為這裡盡一份力。
0x005F36  賭上我鮑貝斯•福亞托德的火焰……
0x005F5C  我希望能夠好好地在這裡努力。
0x005F7A  那麼，就讓我們互相以禮相待，開始上課吧。
0x005FA4  火焰是你想要追求的對吧？
0x005FBE  不過呢，如果沒有足夠的柴薪，是沒有辦法孕育出火焰的。
0x005FF8  如果你已經下定決心要學習這一門學問的話，
0x006022  首先要在這次的課程中打好一切的根基，在此之後，
0x006052  我保證一定會教導你操縱那至高的火焰。
0x006078  看來你學習的狀況不錯。
0x006090  那熾熱地燃燒著的火焰也將要隨著你的言靈而產生了。
0x0060C2  請你要把目前所擁有的一切精神都灌注在火焰的追求上。
0x006132  好久沒有像這樣地來到伊諾森提雅了。
0x006156  我就是奈比洛斯•盧西弗吉……
0x006174  以一個掌管光明與黑闇的身分，
0x006192  我立誓要在這裡盡我的全力為各位提供協助。
0x0061BC  如果你斬斷了光明、保持著沉默……
0x0061DE  那麼總有一天你會只能感受到那破滅的聲音漸漸地沒入你的
0x006214  心靈中。
0x00621E  然後，不知不覺間你就會發覺到了吧。
0x006246  那些開心的事情、討厭的事情、出乎意料的事情、希望忘記
0x00627C  的事情……
0x006288  那些在你內心深處沉眠的無限的思念會支持著你，守護著你
0x0062C6  所謂的沉默，並不是要把自己與外界完全隔絕。
0x0062F2  所謂的沉思，是要去雕琢心中那些支撐著自己的，
0x006320  有形或無形的事物，
0x006334  並且同時對他們寄予深切的感謝。
0x006358  也就是因為這樣，所以在你打破了沉默的時候，
0x006384  也就表示著支撐著你的事物，已經變成了那迸發的熱情。
0x0063BC  我將會教導你們光明與黑闇的魔法，我想這一定會對你們的
0x0063F2  旅途有所幫助吧。
0x006404  已經沒有必要再多說什麼了，就請你們用自己的腳跟上來吧
0x0064B6  ……以這一堂課來說，我是你們的老師。
0x0064DC  但是呢，我修奈鐸•華倫斯提其實也是為了要學習一些新的
0x006512  事物才會來純潔之盾的。
0x00652E  不管是多麼細微的事情也好，希望你們都能夠告訴我。
0x006560  而且，我也希望被你們教導。
0x00657C  就算只是你們在這裡求學的一點點經驗也好。
0x0065A6  我能做到的事情，也就只有教導你們魔法而已。
0x0065D2  而且，也只有那以邏輯與理性為主的魔法。
0x0065FA  現在回頭想想，我還真是一直走在一條冷漠的道路上呀。
0x00663A  那是一條踐踏蹂躪了一切的道路。
0x00665A  會有報應也是應該的。
0x006674  然而，就是因為這樣。
0x00668A  所以我想待在這裡被你們教導。
0x0066A8  讓純潔之盾的思念與我的魔法重疊在一起……
0x0066D2  然後去尋找出一條新的道路，我是這麼想的。
0x0066FC  希望各位能多多指教了。
0x006750  跋山涉水，翻山越嶺地去在各個國家之間旅行，
0x00677C  正是賢者應該去做的事情。
0x00679A  就算是那連名字也不知道，語言也不相通的地方，
0x0067C8  只要用自己的腳確實地去走，最後也總是可以到達。
0x0067FC  雖然我沒有要求你們要對艱苦的旅程毫無怨言，
0x006828  但是我希望你們可以好好努力。
0x006846  「那些在山嶽之間見識到的景色，
0x006866  將會讓不曾見過那景色的人產生很大的改變。」
0x006896  這是連文人也不能理解箇中奧妙的詞句，
0x0068BC  而因為它蘊含著真理，所以能夠流傳至今。
0x0068E4  我現在所要教你們的，
0x0068FA  是我覺得你們應該要至少好好聽過一次的，歷史悠久的課程
0x006934  在深邃的森林裡。
0x006946  小小的野地池塘之畔，崩毀了的寺院的窗邊。
0x006970  我希望你們能仔細地去看看……
0x00698E  不需要點亮那不識趣的燈火。
0x0069AA  仔細地去審視你們自己以及包圍著你們的一切。
0x0069D6  所謂的賢者，真的就得要到各式各樣的地方去旅行。
0x006A06  山脈、河流、平原、高地、濕原、森林……
0x006A32  那些地方，會有著各式各樣的期待與危險。
0x006A5A  狂風、暴雨、昆蟲、毒蛇、群狼、嚴寒、酷暑……
0x006A88  要如何去找到一個可以休息的安全地點？
0x006AAE  要離水源近一點或遠一點？
0x006ACC  要判斷是否可以在野外生火，
0x006AE8  以當時的情況以及手邊的材料來做決定，並準備最適合的食
0x006B1E  物，並且在吃飽之後好好地睡一覺。
0x006B44  如果你們有辦法做到的話……
0x006B60  因為這是你們將來要自己解決的事情，所以我希望你們可以
0x006B96  好好學學。
0x006BA2  不論是因為它給予我們食物、也是因為它提供我們水源；
0x006BD6  並且，
0x006BDE  也因為它給了我們與樹木交談、與精靈邂逅的機會……
0x006C14  所謂的森林，真的是你我最好的朋友……
0x006C3A  然而，如果不去遵守一些基本的規則的話，
0x006C62  豐饒的森林也將立刻變成野性的恐怖巢穴。
0x006C8E  基本上，碰到一兩次的失敗也是很正常的，
0x006CB6  甚至依照情況的不同，你們也可能會經歷無數次的失敗。
0x006CEE  而在不斷的嘗試之中，你就會慢慢地學會如何一個人獨自旅
0x006D2A  在這裡，將會教導你們在孤獨的旅途中的各種知識。
0x006D5A  不論是在海裡也好、在湖裡也好，
0x006D7A  揚帆的方式總是要配合風的方向。
0x006D9A  總是坐在書桌前紙上談兵是沒有辦法前進的。
0x006DC8  要不時地親自駕船，用自己的身體去體驗那種感覺是很重要
0x006E08  這些本來就是在戰鬥中沒有辦法體驗的感覺。
0x006E32  而接受課程教學的最大優點，
0x006E4E  就是可以讓你集中注意力地學習某一件事物，
0x006E78  盡量地去體驗那風與水的吹拂，親手去操作帆與櫓。
0x006EAC  如果無論是在海面平穩的時候也好、風雨交加的時候也好…
0x006EE2  都可以自在地操縱著船隻的話，那你們就可以獨當一面了。
0x006F18  唉呀，如果要說到有這種技術的舵手的話……
0x006F42  除了純潔之盾之長以外，我想就沒有別人了吧。
