0x00793C  值得紀念的第一次戰鬥，是在這達雷西昂的城寨嗎？
0x008AD8  以上，我德涅西亞•露弗鐸可勞的報告就到此告一段落。
0x008B10  薛莉爾•崔諾瓦是「聖瑟維艾斯」的輔佐官。
0x008B3A  如果沒有什麼重要事情非得來這裡一趟的話，
0x008B64  應該是不會來艾爾貝洛瓦的。
0x008B80  那麼……究竟是發生了什麼事呢？
0x008BA0  我想一定是因為他知道我－帕佩修•斐可，
0x008BC8  一定會對朋友伸出援手的。
0x008BE2  與薛莉爾•崔諾瓦會合，將她安全地帶回來，
0x008C0C  這就是這次的作戰目的。
0x008C24  應該沒有其他需要注意的事情了。
0x008C44  要思考如何打倒敵人，
0x008C5A  不如從巧妙地與敵人周旋、順利完成任務的角度去考量。
0x008C92  敵人會不斷地蜂湧而出，
0x008CAA  這些孩子們實在是太可憐了。
0x008CC6  你也有同感吧？
0x008CD6  突破河心沙洲時要齊心一志、統合所有的戰力。
0x008D02  沙洲上的聖者之泉已經染上混沌的血紅，
0x008D28  而且還會有莫魯以及塔爾特瑪等怪物在四周看守。
0x008D5A  只要城砦中還有守護塔的存在，
0x008D78  它們若要從沙洲向前進攻，應該也會有所躊躇吧。
0x008DA6  不知道「匍伏蔓延而來之物」會用什麼信號來通知同伴進攻
0x008DE4  但我們可以確定的是，如果要抵抗它們的話，
0x008E0E  就只能從攻擊開始了。
0x008E24  以上，是我法娜•修貝流士所要傳達給你們的訊息。
0x008E54  為了明白地表達我們的意志。
0x008E70  我們要嚴密地保護城砦中的守護塔以及聖者之泉。
0x008E9E  無論遭受到怎樣的攻擊，絕對死守到底。
0x008EC8  就算最後仍會被攻破，還是要讓對方體驗到我們堅守的決心
0x008F02  我想，這就是這次戰鬥的目的吧。
0x008F22  時間限制在３０分鐘之內。
0x008F3C  沙洲上有著像是敵方前哨的建築。
0x008F5C  那裡一定會配置著一定程度的戰力。
0x008F7E  雖然我們的目的是要奪回沙洲上的聖者之泉，
0x008FA8  但也不要太過逞強。
0x008FC0  順著戰局的變化而策略性地出擊∼
0x008FE0  這樣不是比較好嗎？
0x008FF8  通往安蒂米昂的第一步，就是收復攸利亞。
0x009020  在此處迎擊我們的對手，
0x009038  是全身包覆著赤銅色鎧甲的虛幻騎士鄔爾戈。
0x009062  那一位統領著「匍伏蔓延而來之物」，
0x009086  並佔領了通向「白皙的城砦」的地下道。
0x0090B0  堅毅的騎士屈守在據點中，攻堅將充滿危難。
0x0090DA  這是必然的。
0x0090E8  將敵人從攸利亞深處的巢穴中逼出，
0x00910A  在地面上跟他一決雌雄吧！
0x009124  作戰目的是打倒「赤色鐵壁」的騎士鄔爾戈。
0x00914E  若要取回被血染的守護塔，
0x009168  就一同往那深邃的黑闇中匍伏前進吧！
0x00918C  為避免夜長夢多。
0x00919E  在３０分鐘之內解決它！
0x0091B6  要仔細觀察敵人的動向唷。
0x0091D0  不管是潛伏在水中的敵人，
0x0091EA  還是為了某種目的而前進著的敵人。
0x009210  若是判斷沒有出錯的話，就可以順利掌握戰鬥先機。
0x009240  以上，是我芭特菈•費德林斯克給你們的建議。
0x00926C  伊里安•維奈特向您報告……
0x009288  老師的朋友法爾德先生最近要出門一趟。
0x0092B4  我們幾個希望法爾德先生……
0x0092D0  可以安全地通過阿修特羅斯關口，
0x0092F0  我們想護送他出去，
0x009304  老師……希望您能夠准許。
0x00931E  讓法爾德先生安全地通過阿修特羅斯關口就是本次的作戰目
0x00935E  另外，也希望您順便巡察沿途的五個聖者之泉。
0x00938A  最重要的是讓法爾德先生通過阿修特羅斯關口，
0x0093B6  也就是要保護他的安全。
0x0093CE  這就是這次任務的目的。
0x0093EA  另外，如果還能夠收復被「匍伏蔓延而來之物」所佔領的聖
0x009420  者之泉的話……
0x009434  除了上述之外，應該不會有其他事情發生。
0x00945C  沒有什麼需要注意的附加事項。
0x00947A  在通過阿修特羅斯關口之前，都不能掉以輕心。
0x0094A6  在巡察聖者之泉的時候，
0x0094BE  很有可能會引來「匍伏蔓延而來之物」。
0x0094E8  儘快向前前進，並對追擊而來的敵人多加注意。
0x009514  我想……這些都是非常重要的吧。
0x009534  瑟希莉絲•芬諾忒向您報告。
0x009550  從露奇亞洞窟出現的「匍伏蔓延而來之物」與日俱增。
0x009582  純潔之盾必須牽制它們。
0x00959E  仔細地觀察敵人……
0x0095B2  解讀敵人的行動之後，有效地阻止敵人……
0x0095DA  我認為這對防備那即將從深沉黑闇中來襲的攻擊會有所幫助
0x009614  希望您能同意。
0x009624  封鎖從洞窟中出現的「匍伏蔓延而來之物」，
0x00964E  就是這次的作戰目的。
0x009664  如果能夠完全阻止敵方突破戰線的話……
0x00968A  應該就不會有其他事情發生。
0x0096A6  沒有什麼需要注意的附加事項。
0x0096C4  「匍伏蔓延而來之物」的行動有一定的節奏。
0x0096EE  如果能找出那移動陣型的空隙而加以抑制的話……
0x00971C  要完全封鎖住它們也並不是不可能的事。
0x009742  任務是要將從地下湧出的敵人阻擋在洞窟入口。
0x00976E  地圖大小是２×４，敵人會由上往下移動。
0x00979C  ０１請在此處紀錄
0x0097EA  ０１請在此處紀錄
0x009838  ０１請在此處紀錄
0x009880  請到常闇的遺跡「傑諾巴特斯」一趟，
0x0098A4  查出究竟是什麼隱匿在那裡。
0x0098C0  這是從法爾德先生那兒寄來的信的內容。
0x0098EC  純潔之盾的成員增加了、向心力變強了、實力也有所進步了
0x009928  我認為已經脫胎換骨了。
0x009940  總之，請您不必再有什麼顧慮。
0x00995E  希望您能讓他們進行這次的任務。
0x009982  向傑諾巴特斯遺跡出發，
0x00999A  查出究竟是什麼隱匿在那裡。
0x0099B6  目前並沒有其他的詳細情報。
0x0099D2  聽說傑諾巴特斯裡面有許多古代亡靈出沒。
0x0099FA  若是再受到「匍伏蔓延而來之物」影響的話，
0x009A24  那將會是超出想像之外的可怕。
0x009A42  因為考慮到這層危險，所以限制時間為２０分鐘。
0x009A70  常闇的傑諾巴特斯是一個被死與恐懼包圍的沙漠遺跡。
0x009AA2  那是一個物理與魔法力量，
0x009ABC  就像生命與死亡一樣極端對立的地方。
0x009AE4  請特別留心，不要混淆了敵人們各自的特徵。
0x009B0E  以上，是我帕彌菈•露弗鐸可勞所要傳達給您的訊息。
0x009B40  努力奪回安蒂米昂的第一場戰鬥，
0x009B60  就要來臨了。
0x009B6E  這場漫長的戰役，將會超過一個星期以上……
0x009B98  所以必須有完善的準備。
0x009BB6  這是需要仰賴老師力量的三場戰鬥。
0x009BD8  如果我們一直無法發揮應有的實力的話……
0x009C04  希望老師您能夠調整我們的裝備與狀況，
0x009C2A  避免我們學級的戰力中有什麼缺陷。
0x009C4C  希望您能夠引導我們。
0x009C62  目的是到達沉眠在霍雷斯迴廊深處的祕門。
0x009C8A  這通往安蒂米昂的祕門兩側，都有聖者之泉的守護。
0x009CBA  但願一切都能順利……
0x009CD0  目前並沒有什麼特別條件。
0x009CEA  根據戰況的不同，有時也會出現必須與時間對抗的情況。
0x009D1E  總之……麻煩各位多加努力了。
0x009D3C  無論如何，打倒所有的敵人並不算是一個好戰略。
0x009D6A  因為它們可以從那深沉的黑暗中，
0x009D8A  無止盡地匍伏蔓延而出呀。
0x009DA8  必須打倒的敵人以及必須保護的據點。
0x009DCC  純潔之盾之長呀，
0x009DDE  我期待看到您在戰鬥中表現過人的洞察能力。
0x009E0C  以上，是我艾爾雪•貝爾薩所要傳達給您的訊息。
0x009E40  ０１請在此處紀錄。
0x009E90  ０１請在此處紀錄。
0x009EE0  ０１請在此處紀錄。
0x009F30  ０１請在此處紀錄。
0x009F80  ０１請在此處紀錄。
0x009FD0  ０１請在此處紀錄。
0x00A020  ０１請在此處紀錄。
0x00A070  ０１請在此處紀錄。
0x00A0BA  從很久以前開始，霍雷斯就是純潔之盾的演習場。
0x00A0E8  有深沉黑闇中的迷宮、防禦的障壁、寶箱、守護塔、聖者之
0x00A11E  泉，以及滿溢而出的黑闇。
0x00A13C  要介紹這個特訓場的特色的話，
0x00A15A  我法爾德•貝利斯有十分的自信。
0x00A180  然而，在那裡會有什麼樣的斬獲。
0x00A1A0  就要看看孩子們的能力了。
0x00A1BA  如果目的是追求身心的鍛鍊……
0x00A1D8  朝向更高的目標努力，就有著修練的意味。
0x00A204  點亮守護塔以及聖者之泉那蒼藍的火焰、不讓那光芒滅絕。
0x00A23A  獲取寶物、斬斷那匍伏蔓延而來的混沌。
0x00A260  破壞保護敵人的障壁。
0x00A27A  替孩子們決定好努力的目標，
0x00A296  並且讓他們完成這些目標的話……
0x00A2B6  日後就可以看到修行的成果了吧。
0x00A2D6  如果能讓寶箱保持藍色的光芒直到冒險結束，
0x00A300  則裡面的寶物就將屬於你。
0x00A31A  試試看能拿到多少吧。
0x00A334  另外，這次的冒險是為了鍛鍊身心而進行的特訓。
0x00A362  至少要持續１５分鐘。
0x00A378  如果這也很困難的話……
0x00A390  那就必須多接受一點課程教學了吧。
0x00A3B2  隨著時間的流逝，
0x00A3C4  針對你們而來的敵人也會越來越多。
0x00A3E6  如果你對這次特訓有很高的目標的話，
0x00A40A  請務必要留意這一點。
0x00A420  早安。
0x00A428  瑟希莉絲•芬諾忒向您報告。
0x00A448  在一日又一日的戰鬥中……
0x00A462  由於達雷西昂的防衛日漸薄弱，城砦就這樣被敵人攻破了。
0x00A498  「匍伏蔓延而來之物」的勢力與日俱增，
0x00A4BE  這一點是我們可以確定的。
0x00A4DC  然而，就因為這樣……
0x00A4F2  我才會想要早日取回達雷西昂。
0x00A510  無論如何，請您詢問一下大家的意見好嗎？
0x00A538  目的就是取回達雷希昂城砦。
0x00A554  若是能攻破障壁，
0x00A566  讓守護塔與聖者之泉再度燃起蒼藍的光輝的話。
0x00A592  「匍伏蔓延而來之物」應該就沒有辦法繼續戰鬥下去了。
0x00A5C6  攻城戰，是我完全沒有體驗過的戰鬥。
0x00A5EA  但是為了有一天能夠回到那白皙的城砦中。
0x00A612  我願意一試，努力到最後關頭。
0x00A634  所以……
0x00A63E  不用在意時間的問題，就戰到最後一分一秒吧。
0x00A66A  既然對方能夠佔據這樣的一個城砦，
0x00A68C  表示一定集結了相當程度的兵力。
0x00A6B0  血染的守護塔將會無情地攻擊我們……
0x00A6D4  而那紅色的城牆中，
0x00A6E8  將會有無止境的攻擊向我們襲來。
0x00A708  這應該會是一場苦戰，無論如何，請各位多加努力了。
0x00A73E  這是守衛通往修巴爾玄室的最後地下城砦─
0x00A766  「貝倫」的任務。
0x00A778  如果能夠死守更長的時間，將會有比較高的評價。
0x00A7A6  敵人的數量將是無限的。
0x00A7C4  ０１請在此處紀錄。
0x00A814  ０１請在此處紀錄。
0x00A864  ０１請在此處紀錄。
0x00A8AE  反攻安蒂米昂的最後一步準備，
0x00A8CC  就是解除古雷納汀的封印。
0x00A8E6  將封印的關鍵，
0x00A8F6  也就是身為觸媒的「匍伏蔓延而來之物」打倒，
0x00A922  通往安蒂米昂的路就將在我們面前展開。
0x00A948  目的是將身為封印關鍵的「匍伏蔓延而來之物」打倒。
0x00A97A  它就位在古雷納汀的中央。
0x00A998  另外，通往修巴爾玄室的通道也得嚴守。
0x00A9BE  如果障壁崩潰、守護塔或是聖者之泉陷落的話，
0x00A9EA  那時候恐怕想撤退都沒有辦法了吧。
0x00AA0C  現在並沒有什麼特殊條件。
0x00AA26  找好有利的戰略位置，沉穩地作戰吧。
0x00AA4A  攻向我們的守備位置、以及守護封印的敵人。
0x00AA74  如果能將敵人的力量更加分散的話，
0x00AA96  對戰鬥會比較有利。
0x00AAAA  目前沒有其他的詳細情報。
0x00AAC4  以上，是我柏爾德•帖普倫斯希爾所要傳達給您的訊息。
0x00AAF8  終於，抵達了這思念的安蒂米昂……
0x00AB1A  真是多虧了您引導他們不斷奮鬥到這裡來。
0x00AB42  在這裡的戰鬥，也要麻煩您了。
0x00AB60  白皙的城砦與生俱來的防衛力量已經被凍結了。
0x00AB8C  解開封印的關鍵，就在各個守護塔與聖者之泉身上。
0x00ABC0  無論其所在位置，只要能讓兩個以上的守護塔，
0x00ABEC  以及四座以上的聖者之泉重新沐浴在那蒼藍的聖光中……
0x00AC20  １５分鐘之後，城砦與生俱來的力量就會復甦。
0x00AC4C  必須維持那蒼藍的聖光１５分鐘不中斷。
0x00AC72  這一點必須注意。
0x00AC88  這場戰鬥沒有時間限制。
0x00ACA0  這樣應該就可以盡情地在戰鬥中努力吧。
0x00ACC6  「匍伏蔓延而來之物」中，也有一些擁有飛行能力。
0x00ACF6  不要被他們的特殊能力迷惑了。
0x00AD14  還有，「匍伏蔓延而來之物」的增援多半從架在安蒂米昂的
0x00AD4A  橋上進入戰場的。
0x00AD60  請謹慎選擇迎擊的時機與地點。
0x00AD7E  以上，德涅西亞•露弗鐸可勞報告結束。
0x00ADA4  葛斯貝布洛表示他們想要跟我們交手。
0x00ADC8  雖然從一開始他們的態度就不是很友善……
0x00ADF0  但是，不論他們真正的目的是什麼。
0x00AE12  我們也不能在開戰之前就退縮呀。
0x00AE32  是要去打倒敵人呢……
0x00AE48  還是在戰鬥結束前確保守護塔的安全呢？
0x00AE72  目標的守護塔就在戰場的中央。
0x00AE90  雖然雙方的目標都是要佔領那裡……
0x00AEB6  但是我們是要先佔領了那裡再去防守它，
0x00AEDC  還是讓對方先佔領，然後我們再進攻呢。
0x00AF02  有關這些行動的取捨，就請您指示我們了。
0x00AF2A  無論如何，
0x00AF36  也可以先假定這是與「匍伏蔓延而來之物」間的戰鬥，
0x00AF68  這樣的話，這場戰鬥對純潔之盾來說應該會有一些收穫的。
0x00AFA2  時間限制是１０分鐘。
0x00AFB8  麻煩您指引我們了。
0x00AFCC  葛斯貝布洛派來的只有五個人。
0x00AFEA  雖然人數不多，但他們在葛斯貝布洛被稱為四大天王，
0x00B01C  是十分強悍的重戰士。
0x00B036  另外，希里鄔司•謬斯則在魔法方面有所擅長。
0x00B062  希望您好好留意一下。
0x00B07C  目前所知的資料如同以上所述，
0x00B09A  帕彌菈•露弗鐸可勞報告完畢。
0x00B0B8  進行下週的計畫。
0x00B0CA  到目前為止，從前一週的紀錄中繼承了一些資料。
0x00B0F8  另外，如果想從完全沒有紀錄的情況開始的話，
0x00B124  也可以回到主選單之後重來一次。
0x00B144  進行更為完善的養成，達到更為完美的目的。
0x00B16E  如果能活用之前所獲得的知識的話，
0x00B190  在多人遊戲中也會有不可動搖的優勢吧。
0x00B1B6  沒有什麼特殊事項。
0x00B1CA  沒有什麼特殊事項。
0x00B1DE  雖然他是一個擁有不太好的流言的妖精……
0x00B206  但就算如此，也不改變他的洞察力很好的事實。
0x00B236  就像鎖匙之長閣下所說的一樣，
0x00B254  安蒂米昂的地下確實是有一些騷動。
0x00B276  不管究竟是有孩子困在那裡也好，
0x00B296  或是沒有孩子困在那裡也好……
0x00B2B8  在本來應該可以好好休息的家園中，
0x00B2DA  有令人感到不安的情況總是不好。
0x00B2FA  如果有必要的話，
0x00B30C  必須做好要將孩子們從地下護送回來的準備……
0x00B338  如果並沒有孩子困在那裡的話……
0x00B358  那時候，殲滅「匍伏蔓延而來之物」就是我們的作戰目的了
0x00B394  沒有必要設定什麼限制時間。
0x00B3B0  就好好地大鬧一番吧。
0x00B3C6  所以說啦，不潛進去看看情況好像是不行的。
0x00B3F0  不過，就像有些敵人沒有辦法在地上行動……
0x00B41A  同樣地，也會有一些行動範圍受到限制的敵人。
0x00B44A  有時候，暫時停止攻擊而觀察敵人的動向，
0x00B472  也會是不錯的選擇唷。
0x00B488  以上，傑萊特•羅弗利報告完畢。
0x00B4AE  ０１請在這裡紀錄
0x00B4FC  ０１請在這裡紀錄
0x00B54A  ０１請在這裡紀錄
0x00B598  ０１請在這裡紀錄
0x00B5E6  ０１請在這裡紀錄
0x00B634  ０１請在這裡紀錄
0x00B682  ０１請在這裡紀錄
0x00B6D0  ０１請在這裡紀錄
0x00B71E  ０１請在這裡紀錄
0x00B76C  ０１請在這裡紀錄
0x00B7BA  ０１請在這裡紀錄
0x00B808  ０１請在這裡紀錄
0x00B856  ０１請在這裡紀錄
0x00B8A4  ０１請在這裡紀錄
0x00B8F2  ０１請在這裡紀錄
0x00B940  ０１請在這裡紀錄
0x00B988  因為戰力轉移到了別的地方，
0x00B9A4  眺望萬物的尖塔連自己的守護塔也失守了。
0x00B9D0  想要走到塔頂的話，就只有從底層開始一步步地往上邁進。
0x00BA06  確保所有的守護塔，恢復眺望萬物的尖塔的各種機能……
0x00BA3A  粉碎那「匍伏蔓延而來之物」或者是黑衣施咒者的陰謀吧。
0x00BA74  另外，既然那些異形的混沌已經佔領了眺望萬物的尖塔，
0x00BAA8  帕蘭達因是否已經被囚禁了呢，
0x00BAC6  或是他們是否已經失去了內心的正氣呢，
0x00BAEC  這都是我們要考慮的。
0x00BB06  在能力範圍之內，我們就盡量不要對帕蘭達因的學生們動手
0x00BB44  如果要以武力壓制他們的話，也許會不小心奪走他們的性命
0x00BB7A  也說不定。
0x00BB86  這一點請您多加注意。
0x00BB9C  這次的作戰目的就是讓眺望萬物的尖塔中，所有的守護塔都
0x00BBD2  恢復那蒼藍的光芒。
0x00BBE6  並且，如果可以在完全不打倒任何帕蘭達因的學生的情況下
0x00BC1C  完成任務的話……
0x00BC2E  那將會是最好的結果了。
0x00BC46  到最後的最後為止，希望各位都不要放棄戰鬥。
0x00BC72  眺望萬物的尖塔自古就撐過了許多戰鬥，
0x00BC98  在愛爾梅納斯裡是首屈一指的堡壘。
0x00BCBA  如果對手不是「匍伏蔓延而來之物」的話，
0x00BCE2  以帕蘭達因的能力，沒有人會相信他們竟然守不住那裡。
0x00BD1A  懇請您指引我們行動。
0x00BD30  這都是為了協助我們四大的盟友。
0x00BD50  以上，瑟希莉斯•芬諾忒報告完畢。
0x00BD72  概要【３０】
0x00BD80  ０１請在這裡紀錄
0x00BDCE  ０１請在這裡紀錄
0x00BE1C  ０１請在這裡紀錄
0x00BE6A  ０１請在這裡紀錄
0x00BEB2  繼中央校舍之後，不動的橋墩也淪陷了。
0x00BED8  很明顯地，他們是因為戰力不足才會落敗。
0x00BF00  懇求您，寬大地准許我們去拯救他們吧。
0x00BF26  以上，是我希里鄔司•謬斯所要傳達給您的訊息。
0x00BF54  我想，這次的作戰目的就是指揮、或者是支援葛斯貝布洛的
0x00BF8A  學生們撤退。
0x00BF98  請各位一直戰鬥到自己的極限為止。
0x00BFBA  賈拉哈諾夫的正門前有著以細長的橋所構成的十字路。
0x00BFEC  如果不好好注意敵人動向的話，
0x00C00A  是很有可能被前後夾擊的。
0x00C024  所以請您好好地注意四週情況吧。
0x00C044  「聖瑟維艾斯」向我們發出了求救訊號：
0x00C06A  「沉思的聖堂已經被混沌所包圍了！」
0x00C092  在「聖瑟維艾斯」的孩子們安然撤退以前。
0x00C0BA  就麻煩各位給予他們支援吧。
0x00C0D6  作戰目的就是在「聖瑟維艾斯」的成員們脫離險境以前，
0x00C10A  確保沉思的聖堂的力量。
0x00C122  只要四座守護塔之中，有一座還正常運作……
0x00C14C  就不會讓那「匍伏蔓延而來之物」稱心如意。
0x00C176  在「聖瑟維艾斯」撤退完之前，希望各位能支持一個小時，
0x00C1AC  給予他們足以避難的餘裕。
0x00C1C6  守護塔從聖堂的底層往上延伸，
0x00C1E4  座落在每一層的相同位置上，一共有四座。
0x00C210  每一座守護塔都會在該層的地面上延伸出細小支脈。
0x00C240  也許在這些支脈上抵抗「匍伏蔓延而來之物」的來襲，
0x00C272  會比較有利。
0x00C284  另外，聖者之泉也散布在聖堂的各處。
0x00C2A8  在漫長的戰鬥中……
0x00C2BC  沐浴在那蒼藍的光芒下，應該也會對各位有點幫助吧。
0x00C2EE  以上，是我薛莉爾•崔諾瓦所要傳達給你們的訊息。
0x00C31E  座落在寂靜之都中的一泓湖水－艾斯菲納。
0x00C346  大約在其中央位置的小島，
0x00C360  就是聖者墳墓的中樞「巴提納姆」。
0x00C386  一般說來，位在溢滿著聖水的艾斯菲納之上，
0x00C3B0  墳墓裡應該是不可能會瀰漫著邪惡的。
0x00C3D8  然而……那「匍伏蔓延而來之物」卻仍然從這墓穴的深處湧
0x00C414  既然我們將會冒犯這裡……
0x00C42E  就先在墳墓的四周巡迴一圈，向先人祈求諒解吧。
0x00C45C  作戰目的是將「匍伏蔓延而來之物」全數殲滅。
0x00C488  在大地的力量之中，有一部分是屬於純潔之盾的。
0x00C4B6  正因為如此，所以希望你們可以儘快完成這次的任務。
0x00C4E8  就算是邪惡的「匍伏蔓延而來之物」，
0x00C50C  在那溢滿著聖水的艾斯菲納湖上，
0x00C52C  活動力多少也會受到一點限制吧。
0x00C550  所以徹底搜查聖者墳墓裡每一個縫隙，
0x00C574  確實地消滅所有敵人是非常重要的。
0x00C596  以上，是我薛莉爾•崔諾瓦所要傳達給你們的訊息。
0x00C5CC  ０１請在這裡紀錄
0x00C61A  ０１請在這裡紀錄
0x00C668  ０１請在這裡紀錄
0x00C6B6  ０１請在這裡紀錄
