; MAPPOS0401.YBC  len=0x1e76  [ADV YBC]
;   txt#123 off=0x17f2 prm=0x200 "散佈著大大小小湖泊的水鄉瑟拉。"
;   txt#124 off=0x1812 prm=0x4e0 "這裡，除了可以在湖中遊覽之外，也可以進行垂釣、灑網、操船、水中行軍等等教學。"
;   txt#125 off=0x1860 prm=0x340 "對孩子們來說，算是數一數二受歡迎的戶外教學地點了。"
;   txt#126 off=0x1894 prm=0xe0 "達洛瓦納濕原"
;   txt#127 off=0x18a2 prm=0x40 "　"
;   txt#128 off=0x18a6 prm=0x660 "在這裡有著複雜的生態系統，同時充滿著精靈的力量，這一切，本身就是良好的教材，同時也是一個鳥類的聖地。"
;   txt#129 off=0x190c prm=0x4a0 "呼喚著小石頭的名字、為還屹立著的樹木取名，在潺潺水聲中尋找精靈的話語……"
;   txt#130 off=0x1956 prm=0x440 "聽說那些敏感的孩子們可以在這裡感受到不少大人們所無法感受到的事物。"
;   txt#131 off=0x199a prm=0x80 "落星丘"
;   txt#132 off=0x19a2 prm=0x40 "　"
;   txt#133 off=0x19a6 prm=0x320 "在這裡，彷彿伸出手指就可以碰觸到那星光的閃爍……"
;   txt#134 off=0x19d8 prm=0x440 "仰望這樣的夜色，孩子們就可以了解到對黑闇的敬畏以及光明的虛幻了吧。"
;   txt#135 off=0x1a1c prm=0x3a0 "從古到今，將此地視為一個教學環節而來訪的學級，不曾中斷。"
000014:             17 TEXT                     adv=6   #0 "愛爾梅納斯呀……我衷心的祈求您能夠包容這些幼小的孩子們。"
00001a:             18 TEXTINDEX                adv=4   
00001e:             17 TEXT                     adv=6   #1 "黃金獵場"
000024:             17 TEXT                     adv=6   #2 "　"
00002a:             17 TEXT                     adv=6   #3 "有人說這擁有著古老地層的荀洏是學舍的發祥地。�@"
000030:             17 TEXT                     adv=6   #4 "經過了長久的歲月，風化出一些充滿異樣氣氛的奇形怪岩，產生了一種自然的造型美。"
000036:             18 TEXTINDEX                adv=4   
00003a:             17 TEXT                     adv=6   #5 "坎普聶羅莊"
000040:             17 TEXT                     adv=6   #6 "　"
000046:             17 TEXT                     adv=6   #7 "深受妖精們喜愛，被深邃的森林所圍繞的谷地村落。"
00004c:             17 TEXT                     adv=6   #8 "近年來，這裡出現了不少像是「鎖匙之長」帕配修•斐，或是「滑步」雷吉奧斯•班德列塔之類的優秀精靈。"
000052:             17 TEXT                     adv=6   #9 "因為追求著榮耀，不知不覺間，學舍裡的人們被外人以賢者相稱……"
000058:             17 TEXT                     adv=6   #10 "然而，這個地方卻一直保持著學舍草創時期的樸素氣質，現在也還靜靜地被大自然所擁抱著。"
00005e:             18 TEXTINDEX                adv=4   
000062:             17 TEXT                     adv=6   #11 "歌詠星辰的天蓋"
000068:             17 TEXT                     adv=6   #12 "　"
00006e:             17 TEXT                     adv=6   #13 "三百年前，為那長久的黑薔薇戰爭畫下句點，是愛爾梅納斯首屈一指的天壇。"
000074:             17 TEXT                     adv=6   #14 "重複交疊的眾多魔法陣，和星辰的運行有密切的關聯，可以說是魔法的觸媒。"
00007a:             17 TEXT                     adv=6   #15 "雖然它的威嚴被蔓生的青苔遮掩，但眾人仍然認為它正在守護著整個學舍。"
000080:             18 TEXTINDEX                adv=4   
000084:             17 TEXT                     adv=6   #16 "眺望萬物的尖塔"
00008a:             17 TEXT                     adv=6   #17 "　"
000090:             17 TEXT                     adv=6   #18 "守護著愛爾梅納斯西方的巨塔「伊力雅」。"
000096:             17 TEXT                     adv=6   #19 "它用言靈說明了世間一切的事物，可以說是一個永不歇息的研究機關。"
00009c:             17 TEXT                     adv=6   #20 "在四大學級之一的帕蘭達因入主這裡之後，不到三年的時間內，"
0000a2:             17 TEXT                     adv=6   #21 "就以守護學舍的四大居城姿態，散發出無法動搖的力量與美感。"
0000a8:             18 TEXTINDEX                adv=4   
0000ac:             17 TEXT                     adv=6   #22 "中央校舍"
0000b2:             17 TEXT                     adv=6   #23 "　"
0000b8:             17 TEXT                     adv=6   #24 "身為東方賢者學院愛爾梅納斯的中樞，這是一個可以讓全體師生共聚一堂的巨大建築。"
0000be:             17 TEXT                     adv=6   #25 "建立在古代遺跡群上的中央校舍─羅亞爾•聖提，在「匍伏蔓延而來之物」的攻擊下，僅僅三天就陷落了。"
0000c4:             17 TEXT                     adv=6   #26 "現在這裡正被混沌所包圍，化作了瓦礫的學舍精神象徵，不由得讓人感覺這代表著學舍的悲慘與屈辱……"
0000ca:             18 TEXTINDEX                adv=4   
0000ce:             17 TEXT                     adv=6   #27 "迷失之森"
0000d4:             17 TEXT                     adv=6   #28 "　"
0000da:             17 TEXT                     adv=6   #29 "守護著愛爾梅納斯的天然屏障之一部分，"
0000e0:             17 TEXT                     adv=6   #30 "在高低起伏劇烈的地形上，生長著無數的巨樹，因而自古以來就被人睛穡是天然的婁響城砦。"
0000e6:             17 TEXT                     adv=6   #31 "土壤裡含有豐富的水分，受到那沃土所滋養的樹木，不曾被火焰侵蝕而度過了長久的安寧歲月。"
0000ec:             18 TEXTINDEX                adv=4   
0000f0:             17 TEXT                     adv=6   #32 "阿曼吉歐古戰場"
0000f6:             17 TEXT                     adv=6   #33 "　"
0000fc:             17 TEXT                     adv=6   #34 "曾經是被列為愛爾梅納斯三景之一的名勝。"
000102:             17 TEXT                     adv=6   #35 "黑薔薇戰爭末期，當那戰火甚至延燒到愛爾梅納斯的時候，這裡也不可避免地成為了戰場。"
000108:             17 TEXT                     adv=6   #36 "因為這裡只剩下一片寸草不生的荒野，因此，我們現在已經無法想像過去那一副美景了。"
00010e:             18 TEXTINDEX                adv=4   
000112:             17 TEXT                     adv=6   #37 "內海"
000118:             17 TEXT                     adv=6   #38 "　"
00011e:             17 TEXT                     adv=6   #39 "位在愛爾梅納斯的中心，瀰漫著一片鮮明蔚藍的豐饒海洋。"
000124:             17 TEXT                     adv=6   #40 "通往中央校舍的海路只有一條，那是通過不動的橋墩，然後與西方外海連接的航路。"
00012a:             17 TEXT                     adv=6   #41 "據說，對那些懂得如何駕船的賢者來說，他們比較偏好利用海洋往來各地而不是陸地。"
000130:             18 TEXTINDEX                adv=4   
000134:             17 TEXT                     adv=6   #42 "巴楊"
00013a:             17 TEXT                     adv=6   #43 "　"
000140:             17 TEXT                     adv=6   #44 "位在相當於從水路通往學舍的玄關位置。"
000146:             17 TEXT                     adv=6   #45 "棲息著眾多鳥類的燈塔有十二座，屹立在險峻的斷崖上守護著來往的船隻。"
00014c:             17 TEXT                     adv=6   #46 "要成為羽翼之長的人，就是在這裡接受稱號。"
000152:             17 TEXT                     adv=6   #47 "那是擁有卓越的航海技術與操船技巧的證明……"
000158:             17 TEXT                     adv=6   #48 "同時，那也代表著擁有能安全迎接朋友歸來，以及將他們送往遠方的偉大力量的稱號。"
00015e:             18 TEXTINDEX                adv=4   
000162:             17 TEXT                     adv=6   #49 "拉傑尼斯海峽"
000168:             17 TEXT                     adv=6   #50 "　"
00016e:             17 TEXT                     adv=6   #51 "在不動橋墩內側的海路關卡。"
000174:             17 TEXT                     adv=6   #52 "早春時分，當融雪流入內海的時候，這裡會出現足以把大帆船一舉吞沒的大型瀑布，那是相當壯麗的景觀。"
00017a:             17 TEXT                     adv=6   #53 "就算在不是瀑布的季節，這附近的海流也常常因為水與溫度差的變化而暗潮洶湧，"
000180:             17 TEXT                     adv=6   #54 "就算是老練的駕船者也常在這裡傷透了腦筋。"
000186:             17 TEXT                     adv=6   #55 "所以不動的橋墩是愛爾梅納斯裡船隻們最後的轉航點，這也可以說是一種不成文規定吧。"
00018c:             18 TEXTINDEX                adv=4   
000190:             17 TEXT                     adv=6   #56 "不動的橋墩"
000196:             17 TEXT                     adv=6   #57 "　"
00019c:             17 TEXT                     adv=6   #58 "身處通往愛爾梅納斯中央海路的要衝，擁有悠久歷史的「賈拉哈諾夫」大橋，橫跨著這道極為狹窄的海峽。"
0001a2:             17 TEXT                     adv=6   #59 "由黃昏的矮人們建造的堅固大橋，在四百年來的不斷增修之中，使海峽本身變成了龐大的城砦。"
0001a8:             17 TEXT                     adv=6   #60 "直到現在，在風平浪靜的時候，也會舉行季節性的慶典，長達十日的石雕宴會。"
0001ae:             17 TEXT                     adv=6   #61 "四大學級之一的葛斯貝布洛與聚集在其中的重戰士們，駐守在不動的橋墩，"
0001b4:             17 TEXT                     adv=6   #62 "也許，就是在這日復一日地與歷史遺產生活當中，培養出了貫徹道義與最初志向的信條。"
0001ba:             18 TEXTINDEX                adv=4   
0001be:             17 TEXT                     adv=6   #63 "沉思的聖堂"
0001c4:             17 TEXT                     adv=6   #64 "　"
0001ca:             17 TEXT                     adv=6   #65 "站在愛爾梅納斯光榮的四大學級頂點，聖瑟維艾斯所居住的北方守護堂。"
0001d0:             17 TEXT                     adv=6   #66 "由於它豐富的資源與秘藏的古老遺產，學舍裡過去也曾為此發生不少弱肉強食的爭奪，秘密的佔領作戰不斷地重複發生。"
0001d6:             17 TEXT                     adv=6   #67 "那充滿光輝的沉思聖堂的歷史，其實也就是持續著冷血的侵略與封殺的黑闇歷史。"
0001dc:             18 TEXTINDEX                adv=4   
0001e0:             17 TEXT                     adv=6   #68 "巴雷歐斯荒原"
0001e6:             17 TEXT                     adv=6   #69 "　"
0001ec:             17 TEXT                     adv=6   #70 "率領著暴風與雷電的雙頭龍─迪布羅瑪長眠的所在。"
0001f2:             17 TEXT                     adv=6   #71 "悼念著祂的死亡的風之精靈，化作了狂風，如今也在此地呼嘯著。"
0001f8:             18 TEXTINDEX                adv=4   
0001fc:             17 TEXT                     adv=6   #72 "風之丘"
000202:             17 TEXT                     adv=6   #73 "　"
000208:             17 TEXT                     adv=6   #74 "內海的冷氣與大陸的暖氣交會而產生的強風，一定會經過這裡。"
00020e:             17 TEXT                     adv=6   #75 "利用這裡的風來與遠方的人們傳遞言靈，是孩子們之間廣為流行的遊戲。"
000214:             18 TEXTINDEX                adv=4   
000218:             17 TEXT                     adv=6   #76 "海神祠"
00021e:             17 TEXT                     adv=6   #77 "　"
000224:             17 TEXT                     adv=6   #78 "祈禱內海安寧的信仰中心。內海與許多湖泊透過地下水道而連接。"
00022a:             17 TEXT                     adv=6   #79 "據說這種信仰的開端，是過去相信著海神的怒氣將會引發恐怖聲響的人們，為了安撫海神的情緒而奉上祭品。"
000230:             17 TEXT                     adv=6   #80 "然而，現在人們反而相信能聽到那種奇特的聲音是一種吉兆了。"
000236:             18 TEXTINDEX                adv=4   
00023a:             17 TEXT                     adv=6   #81 "白皙的城砦"
000240:             17 TEXT                     adv=6   #82 "　"
000246:             17 TEXT                     adv=6   #83 "四大學級的居城之一。在羅亞爾•聖提損失了大部分戰力的純潔之盾，暫時放棄了這裡，而撤退到了艾爾貝洛瓦。"
00024c:             17 TEXT                     adv=6   #84 "在湖中映照著那美麗的白色倒影，不知從何時開始，這裡被人稱為安蒂米昂。"
000252:             17 TEXT                     adv=6   #85 "在它的南北兩方有著相當長的大橋，顯示它是愛爾梅納斯東方的要衝。"
000258:             18 TEXTINDEX                adv=4   
00025c:             17 TEXT                     adv=6   #86 "天秤洞"
000262:             17 TEXT                     adv=6   #87 "　"
000268:             17 TEXT                     adv=6   #88 "是行商或是交易維生的人們心目中的聖地，也是他們敬畏的地方。"
00026e:             18 TEXTINDEX                adv=4   
000272:             17 TEXT                     adv=6   #89 "大圖書館"
000278:             17 TEXT                     adv=6   #90 "　"
00027e:             17 TEXT                     adv=6   #91 "在久遠的過去，被愛爾梅納斯的前身「帝都」修佩爾•寧菲司所建造。"
000284:             17 TEXT                     adv=6   #92 "不但有著數量相當龐大的藏書，也有人說在那圖書館的黑暗深處，還有不少祕藏的書籍等待著人們去發現。"
00028a:             18 TEXTINDEX                adv=4   
00028e:             17 TEXT                     adv=6   #93 "聖者墳墓"
000294:             17 TEXT                     adv=6   #94 "　"
00029a:             17 TEXT                     adv=6   #95 "是歷代被冠上某種事物「之長」名銜的賢者們，被睛鞭聖者而長眠的地方。"
0002a0:             17 TEXT                     adv=6   #96 "在墓前獻花的人群絡繹不絕，因為像這樣地去接近他們，可以讓自己感受到這些賢者們生前的品德與力量。"
0002a6:             17 TEXT                     adv=6   #97 "另外還有一種說法，在這些聖者們出生後到死亡前的這段時間裡，所擁有的東西，會有一小部份分給來參拜的人們。"
0002ac:             18 TEXTINDEX                adv=4   
0002b0:             17 TEXT                     adv=6   #98 "答雷歐斯的地下都市"
0002b6:             17 TEXT                     adv=6   #99 "　"
0002bc:             17 TEXT                     adv=6   #100 "深埋了許多令人不禁眼睛為之一亮的雕刻藝術品。"
0002c2:             17 TEXT                     adv=6   #101 "在地底深處盤根錯節，雖然從地面上看不出來，但是在地下，確實佔有相當大的空間。"
0002c8:             17 TEXT                     adv=6   #102 "雖然也曾經被利用為迷宮探險的教學場地，不過，現在它的任務已經圓滿達成，之後就一直過著安靜的日子。"
0002ce:             18 TEXTINDEX                adv=4   
0002d2:             17 TEXT                     adv=6   #103 "肯涅歐涅的樹海"
0002d8:             17 TEXT                     adv=6   #104 "　"
0002de:             17 TEXT                     adv=6   #105 "在大白天裡也十分陰暗的茂密森林。"
0002e4:             17 TEXT                     adv=6   #106 "在這個地方，應該會讓人深深地感覺到自己有多渺小吧。"
0002ea:             17 TEXT                     adv=6   #107 "然而，在樹海中潛伏的許多危險，對冒險者們來說，說不定是一種不可或缺的刺激。"
0002f0:             18 TEXTINDEX                adv=4   
0002f4:             17 TEXT                     adv=6   #108 "艾爾貝洛瓦"
0002fa:             17 TEXT                     adv=6   #109 "　"
000300:             17 TEXT                     adv=6   #110 "純潔之盾伊諾森提雅的發祥地，開祖德涅西亞•露弗鐸可勞出生長大的故鄉。"
000306:             17 TEXT                     adv=6   #111 "當他們以四大學級的身分入主了「白皙的城砦」安蒂米昂之後，這裡就變成了一個讓他們輕鬆一下，或是用來靜養的別莊。"
00030c:             17 TEXT                     adv=6   #112 "由於從內部匍伏蔓延而出的混沌攻陷了羅亞爾•聖提，四大居城同時也受到了威脅。"
000312:             17 TEXT                     adv=6   #113 "在後來被稱為「羅亞爾•聖提撤退戰」的戰役中，失散了許多成員的純潔之盾，決定從那規模龐大的城砦撤退。"
000318:             17 TEXT                     adv=6   #114 "而選擇來到這遠離愛爾梅納斯中樞的艾爾貝洛瓦避難，並蓄積實力。"
00031e:             18 TEXTINDEX                adv=4   
000322:             17 TEXT                     adv=6   #115 "赫爾梅思草原"
000328:             17 TEXT                     adv=6   #116 "　"
00032e:             17 TEXT                     adv=6   #117 "在一望無際的草原中，隱藏著許多小動物。"
000334:             17 TEXT                     adv=6   #118 "人類非常地清楚在各式各樣的家族之間有著深遠的牽絆。"
00033a:             17 TEXT                     adv=6   #119 "而且，也清楚地見證了這世上發生的各種悲慘情事。"
000340:             17 TEXT                     adv=6   #120 "因此，在偶爾能感受到溫馨的這裡，不是特別讓人心情舒暢嗎？"
000346:             18 TEXTINDEX                adv=4   
00034a:             17 TEXT                     adv=6   #121 "瑟拉的水鄉"
