0x001348  這的確是一座非常漂亮的城堡呀。
0x001E6E  總有一天將會結束的生命，
0x001E88  我想還是在盡情揮灑之後結束比較好。
0x001EAC  我看你可不是那種，
0x001EC0  有辦法若無其事說出這麼有哲理的話的人呢。
0x001EEA  明明不過就是個蹺家的小孩罷了。
0x001F0A  可是啊，
0x001F14  也有些人就只能活到我這個年齡而已呀。
0x001F3A  為了完成心願，
0x001F4A  無論什麼時候都要去努力不是嗎？
0x001F72  我只是……
0x001F7E  對那傢伙剛剛說貶低純潔之盾的那些話呀，
0x001FA6  不想就這麼沉默以對而已。
0x001FC0  ……「伊里安的想法，不就也只是這樣嗎？」
0x001FEA  我是這樣想的。
0x001FFA  希里鄔司……
0x002008  ……說一切都要照自己想法去做的，
0x00202A  可是妳呀。
0x002036  你這傢伙真是一點也不可愛……
0x002054  如果這世界真的這麼單純的話，
0x002072  就不會有什麼複雜困難的事情了吧。
0x002094  …………
0x00209E  讓這個世界變得更複雜的，
0x0020B8  不就是像妳這種考慮得太多的人嗎？
0x0020DA  希里鄔司。
0x0020E6  我知道我知道，真抱歉……
0x002100  我不是要現在就急著找死就是了。
0x002120  只是這個時候。
0x002130  感覺在這個世界上不做些什麼是不行的。
0x002156  ……所以很想這樣說而已。
0x002170  …………
0x00217A  …………
0x002184  這就是不動的橋墩的精神呀。
0x0021A0  …………
0x0021AA  ……那也許蠻有趣的也說不定。
0x0021C8  那麼，明天也請早點起來啊。
0x0021E4  老是賴床的話，說不定上課會遲到唷。
0x002208  好啦好啦，那麼，我就先回去啦。
