0x0029A4  《那一天，對聖瑟維艾斯來說……
0x00325E  …………
0x003268  這樣是不行的。
0x003278  這樣是錯誤的。
0x003288  這是不可原諒的啊……
0x00329E  …………
0x0032A8  我好想再見他們一面……！
0x0032C2  …………
0x0032CC  別哭呀，伊里安。
0x0032DE  法娜學姊……
0x0032EC  聖瑟維艾斯……
0x0032FC  聖瑟維艾斯……
0x00330C  ……很遺憾。
0x00331A  為什麼……
0x003326  為什麼，法娜學姊……
0x00333C  …………
0x003346  我一直……
0x003352  一直……
0x00335C  都很尊敬法娜學姊呀……！
0x003376  別這樣，伊里安。
0x003388  …………
0x003392  可是為什麼……
0x0033A2  為什麼要丟下大家不管呢……
0x0033BE  伊里安。
0x0033C8  為什麼，為什麼要自己一個人逃跑呢！
0x0033EC  …………
0x0033F6  ……！！
0x003400  …………
0x00340A  帕…帕彌菈學姊……！！
0x003422  …………
0x00342C  啊…帕彌菈學姊……
0x003440  對不起，我……
0x003450  我……
0x003458  法娜學姊……
0x003466  …………
0x003470  沒關係。
0x00347A  我自己一個人逃跑了，這也是事實。
0x00349C  就算是一個人也好，我也沒辦法救出來。
0x0034C2  呃，呃……
0x0034CE  ……真是笨哪，伊里安。
0x0034E6  既然我都可以安全地逃到這裡了，
0x003506  你又何必這麼難過呢。
0x00351C  …………
0x003526  既然我可以存活下來，
0x00353C  那麼他們也是有可能逃出來的呀。
0x00355C  而我的實力，比起聖瑟維艾斯的其他同伴，
0x003584  其實根本就不足以比擬。
0x00359C  ……法娜學姊。
0x0035AC  再想想。
0x0035B6  有你為了聖瑟維艾斯這麼地擔心，
0x0035D6  其實我們已經很幸福了。
0x0035EE  ……法娜。
0x0035FA  過去，我們曾經有一同求學的機會。
0x00361C  如果以後還有這樣的機會的話，
0x00363A  真不知道該有多開心。
0x003650  老師也一定會說：
0x003662  「只要妳這麼希望的話，就一定有機會的。」
0x00368C  你們願意讓我繼續待在這裡嗎？
0x0036AA  是的……！
0x0036B6  是的……！
0x0036C2  老師。
0x0036CA  現在有空嗎？
0x0036D8  嗯嗯……
0x0036EA  什麼事情都……
0x0036FA  不打算問我的樣子呢。
0x003710  …………
0x00371A  在這裡，除了一顆想要好好學習的心以外，
0x003742  沒有什麼特別需要向我解釋的事情。
0x003764  …………
0x00376E  倒是，曾經在聖瑟維艾斯求學過的妳……
0x003794  也許對現在的純潔之盾來說，
0x0037B0  會是一種良性的刺激吧。
0x0037C8  …………
0x0037D2  雖然說是老師，不過你看起還真年輕呀。
0x0037F8  嗯，簡直就是太年輕了一點。
0x003814  幾歲了？
0x00381E  比奧爾菲老師還年輕？
0x003834  ……不，我比他大一歲。
0x00384C  呼∼嗯……
0x003858  說話能夠這麼條理分明，是因為年輕的緣故？
0x003882  還是……是因為有真材實料的本事？
0x0038A4  不過，你真的有辦法勝任四大學級的老師職位
0x0038D4  妳還是跟以前一樣口無遮攔嘛……
0x0038F4  好久不見啦，美麗的公主殿下。
0x003912  嗯哼∼
0x00391A  這不是長老先生嗎。
0x00392E  「到伊諾森提雅來應該可以看到你吧∼」
0x003954  我是因為心裡這樣猜想，才會到這兒來的，
0x00397C  我這樣的決定是正確的嗎？
0x003996  或者說……
0x0039A2  其實是犯了個天大的錯誤呢？
0x0039BE  只要妳自己覺得那是正確的，那就好了。
0x0039E4  唉呀∼∼
0x0039EE  真不愧是長老先生，度量真大呢。
0x003A0E  …………
0x003A18  我叫做法娜。
0x003A26  聖瑟維艾斯的法娜•修貝流士。
0x003A44  老師。
0x003A4C  純潔之盾上……
0x003A5C  還有空間可以刻上我的名字嗎？
0x003A7A  …………
0x003A84  …………
0x003A8E  …………
0x003A98  純潔之盾現在也遭受了創傷，
0x003AB4  不知道什麼時候會瓦解。
0x003ACC  我才正要問妳，
0x003ADC  妳真的願意在這樣的情況下加入嗎？
0x003AFE  其實我所希望的……是很任性的一件事。
0x003B24  我的願望是，
0x003B32  能夠讓聖瑟維艾斯恢復到以前的狀況。
0x003B56  我是為了達成這個願望，
0x003B6E  才會想要留在這個地方的……
0x003B8A  …………
0x003B94  就算如此，只要老師能夠認同我的力量對純潔
0x003BBE  之盾來說是必要的，那就好了。
0x003BDC  我只是需要一個可以學習的場所。
0x003BFC  為了達成我的願望，
0x003C10  我需要一個積蓄力量的機會呀。
0x003C2E  …………
0x003C38  在這裡有帕彌菈在。
0x003C4C  有長老先生在。
0x003C5C  而且，也有被大家信任的你在。
0x003C7A  對我來說，
0x003C86  這個環境還真是好到不能再好了呢。
0x003CA8  我很高興妳這麼直接地把事情說出來。
0x003CCC  毫不畏懼直話直說的公主呀。
0x003CE8  當然，我希望妳能助我們一臂之力。
0x003D0A  這還真是令人受寵若驚的稱讚呀，
0x003D2A  以後還是別再這樣說了吧。
0x003D44  不過，我會努力完成你的期待的。
0x003D64  一定會。
0x003D6E  嗯嗯。
0x003D76  …………
0x003D80  …………
0x003D90  ……妳怎麼哭了呢？
0x003DA4  因為能夠碰到像你這樣的好人，
0x003DC2  真是太開心了。
0x003DD2  …………
0x003DDC  如果不是伊里安，
0x003DEE  那麼直率地表達他的想法的話……
0x003E0E  如果不是你這麼寬大地收留我的話……
0x003E32  我本來覺得這些話是可以不用說的。
0x003E54  我本來是這樣打算的。
0x003E72  對大家……
0x003E7E  本來是想隱瞞這件事的。
0x003E96  …………
0x003EA0  …………
0x003EAA  聖瑟維艾斯的確是被攻陷了。
0x003EC6  但是，我所深愛的沉思的聖堂，
0x003EE4  卻不是被「匍伏蔓延而來之物」攻破的。
0x003F12  怎麼可能，那麼，到底……
0x003F2C  …………
0x003F36  …………
0x003F40  是被那耀眼的眺望萬物的尖塔……
0x003F60  …………
0x003F6A  怎麼會……
0x003F76  攻擊聖瑟維艾斯的，就是帕蘭達因呀。
0x003F9A  什麼……！？
0x003FA8  …………
0x003FB2  ……是修奈鐸下的決定是吧。
0x003FCE  …………
0x003FD8  …………
0x003FE2  那時候，我認為如果對手是帕蘭達因的話，
0x00400A  我們應該能守得住吧。
0x004020  聖瑟維艾斯不可能因為魔法而被擊敗的。
0x004046  …………
0x004050  但是，誰也沒辦法真的豁盡全力去戰鬥。
0x004076  ……是的。
0x004082  沉思的聖堂，
0x004090  就這樣地跪倒在叡智的殿堂面前了。
0x0040B2  …………
0x0040BC  凡迪斯斐爾，
0x0040CA  就這樣地在言靈尖塔的魔法下失陷了。
0x0040EE  一時之間，我還真是無法相信……
0x00410E  那麼法娜，妳又是……
0x004124  聖瑟維艾斯已經徹底地崩潰了……
0x004144  大家也都不知道怎麼樣了。
0x00415E  費爾德訥、席菈、還有艾蕾。
0x00417A  不管是誰也好，通通都斷了音訊。
0x00419A  …………
0x0041A4  …………
0x0041AE  可是，大家都盡了全力作戰……
0x0041CC  卻讓我……
0x0041D8  卻特地讓我從那裡逃了出來。
0x0041F4  …………
0x0041FE  ……老師！！！
0x00420E  我好不甘心呀……！！
0x004224  所有與我互相信任的朋友們，
0x004240  通通都被他們蹂躪踐踏，我好不甘心呀！！
0x004268  被一直當作是好對手而尊敬的帕蘭達因給……
0x00429A  法娜……
0x0042A4  指責我們修習光明魔法，卻也同時研究黑闇…
0x0042CE  把我們當作跟「匍伏蔓延而來之物」一樣，
0x0042F6  都是混沌的爪牙……
0x00430A  所以被他們侮辱、被他們毀滅，
0x004328  我不甘心呀……！！！
0x00433E  …………
0x004348  我要好好地報答那些讓我逃出來的大家，
0x00436E  我一定要完成他們的願望……！！
0x00438E  我要洗刷聖瑟維艾斯的污名……！！
0x0043B0  …………
0x0043BA  求求您助我一臂之力……！！
0x0043D6  懇求您的幫助！！！
0x0043EA  ……我瞭解了。
0x0043FA  這份遺憾我一定會幫妳消除。
0x004416  總有一天，我們要替沉思的聖堂洗刷冤情。
0x00443E  老師……！
0x00444A  …………
0x004454  我以後不會再哭泣了。
0x00446A  淚水就只留給今天。
0x00447E  可是……啊啊……
0x004490  我卻沒辦法停止這淚水……
0x0044AA  …………
0x0044B4  你就這樣地相信了我的說辭。
0x0044D0  什麼也不質問，只是靜靜地凝視著我。
0x0044FC  這真是令我感動……！！
0x004514  …………
0x00451E  …………
0x004528  …………
0x004532  ……那麼孤高的公主呀。
0x00454A  希望妳心中所隱藏的澄澈思念，
0x004568  可以順利達成。
0x004578  那是妳在勇氣與悲愴之間，
0x004592  掙扎著說出的願望呀。
0x0045A8  …………
0x0045B2  ……在這裡，沒有光明也沒有黑闇。
0x0045D4  只有在那率直的信念之下……
0x0045F0  所刻劃的為沉思雪恥的誓言。
0x00460C  無論什麼時候，我都會對妳伸出援手的，
0x004632  法娜•修貝流士。
0x004644  只要我還在愛爾梅納斯的一天，
0x004662  我就會一直相信妳所說的話。
0x00467E  ……是的！
0x00468A  天啊……
0x004694  竟然會發生這種事情，真是令人無法想像。
0x0046BC  ……其實，舞詩之長曾經傳來消息。
0x0046DE  雖然時常因故中斷……
0x0046F4  但是門戶之長和積石之長仍然聚集在眺望萬物
0x00471E  的尖塔裡，
0x00472A  開設了賢者圓桌。
0x00473C  …………
0x004746  可以確定的是，他們至少在那裡決議了，
0x00476C  要把「匍伏蔓延而來之物」當作一切罪惡的根
0x00479C  圓桌遷移到帕蘭達因了嗎？
0x0047B6  可是，這就更可以確定，
0x0047CE  這是修奈鐸無視現實環境的專制改革了。
0x0047F4  耀眼的眺望萬物尖塔的總帥……
0x004812  然而，要率領愛爾梅納斯迅速地復興，
0x004836  也只有靠他和他所率領的帕蘭達因了。
0x00485A  …………
0x004864  他的能力，再加上那旁人無法相比的智囊團，
0x00488E  帕蘭達因已經達到了四大學級的頂點。
0x0048B2  這恐怕真的是事實呀。
0x0048C8  不只是他一個人而已。
0x0048DE  那像純粹的結晶一樣優秀的魔法師，
0x004900  就如同銀河中的群星似的匯聚在他門下。
0x004926  在那窮究精巧的極限美麗高塔中，
0x004946  他們的魔法已經到達了盡善盡美的境界吧。
0x00496E  …………
0x004978  而那牢不可破的尖塔，
0x00498E  我想已經勝過羅亞爾•聖提了。
0x0049AC  「匍伏蔓延而來之物」，
0x0049C4  應該也不會輕易地對他們出手吧。
0x0049E4  而那帕蘭達因認定了混沌的來源，
0x004A04  在於黑闇之中……
0x004A16  討伐司掌光與闇的聖瑟維艾斯，
0x004A34  是經過賢者圓桌的認可的。
0x004A4E  至少，我們現在手上有這些情報，
0x004A6E  那麼也就是說……
0x004A80  我們除了要有所覺悟以外，
0x004A9A  也沒有別條路可以走了。
0x004AB2  ……抱歉。
0x004ABE  這一切都是因為我的無能呀……
0x004ADC  不，別這樣說。
0x004AEC  總有一天，一切都會走上軌道的。
0x004B0C  而對於現在的伊諾森提雅來說……
0x004B2C  眺望萬物的尖塔，還遠得很……
0x004B4A  那麼……
0x004B54  我們只要緩緩地，但確實地前進就好了……
0x004B7C  老師，您可別忘了自己所說過的話呀。
0x004BA0  ……一切都拜託你了。
0x004BB6  這是我的職責所在呀。
