0x001364  做得好，修奈鐸。
0x001944  …………
0x00194E  薛莉爾•崔諾瓦……
0x001962  看來她已經有一定程度的覺悟了。
0x001982  ……雖然在羅亞爾．聖提裡漸漸衰微，
0x0019A6  然而聖瑟維艾斯仍然保持著一定的尊榮。
0x0019CC  說我們打開了邪惡的道路，召喚混沌前來，
0x0019F4  這根本就是毫無道理的指控嘛。
0x001A12  既然妳這樣說的話，那也請妳說明一下，
0x001A38  妳對奈比洛斯的沉默有什麼看法吧。
0x001A5A  …………
0x001A64  …………
0x001A6E  …………
0x001A78  …………
0x001A82  那是……
0x001A8C  那是？
0x001A94  我……
0x001A9C  我身為聖瑟維艾斯總裁身邊的輔佐官，
0x001AC0  對奈比洛斯閣下的行為，以及她的沉默，
0x001AE6  完全沒有任何懷疑！！！
0x001AFE  …………
0x001B08  然而，那沉默卻是解開一切謎團的癥結呀。
0x001B30  妳要知道，讓愛爾梅納斯遭受危難的原因，
0x001B58  已經完全被歸咎於聖瑟維艾斯身上了。
0x001B7C  ……鮑伯閣下。
0x001B8C  為什麼曾經在聖瑟維艾斯擔任聖騎士的您，
0x001BB4  也支持這種想法呢？
0x001BC8  的確。
0x001BD0  我非常地尊敬吉爾梅亞閣下，
0x001BEC  也一直都把奈比洛斯當成是朋友，
0x001C0C  然而，我是不可能容忍混沌的存在的。
0x001C30  奈比洛斯閣下準備把一切都托付給你，
0x001C54  然而您現在卻……
0x001C66  住口！！
0x001C70  是那污穢骯髒的黑闇爪牙，
0x001C8A  讓聖瑟維艾斯瘋狂了。
0x001CA0  …………
0x001CB2  讓羅亞爾•聖提墮落在混沌之中的，
0x001CD4  一切的黑闇與邪惡的禍根就是她！！
0x001CF6  有著積石之長名號的您，
0x001D0E  竟然會說出這種話……
0x001D24  …………
0x001D2E  不去深思那藏在賢者作為背後的意義……
0x001D54  這賢者圓桌到底是為了什麼而存在的！？
0x001D7A  妳說的這些話我沒有辦法容忍，
0x001D98  難道連妳也被混沌給控制了嗎？
0x001DB6  不能好好努力守護著愛爾梅納斯的話，
0x001DDA  那還能算什麼賢者！？
0x001DF0  那麼，不守護和自己一起同甘共苦的夥伴，
0x001E18  這樣也能被稱為賢者嗎！？
0x001E32  薛莉爾•崔諾瓦，妳已經發狂了嗎？
0x001E54  妳才沒有資格質問我這種事情！
0x001E72  這真是卑劣啊……！
0x001E86  到底是誰決定了我有沒有資格問你！？
0x001EAA  為什麼不回答我！？
0x001EBE  哼，沉默不是你們最擅長的技倆嗎！！
0x001EEA  愚蠢，連一句話都答不出來了嗎……
0x001F0C  …………
0x001F16  難道你認為聖瑟維艾斯所倡導的沉思……
0x001F3C  是對於不願意回應的問題而表達沉默嗎？
0x001F62  …………
0x001F6C  …………
0x001F76  聖瑟維艾斯的補佐官，薛莉爾•崔諾瓦。
0x001F9C  妳涉嫌掌控黑闇而召喚混沌，
0x001FB8  讓愛爾梅納斯的名譽蒙羞。
0x001FD2  這一切的罪孽實在是太深重了。
0x001FF0  誠心地懺悔妳的罪惡，
0x002006  沉默地接受妳應得的懲罰吧。
0x002022  …………
0x00202C  …………
0x002036  那就請你們奪走我的一切吧。
0x002052  反正我也覺得跟你們這些人一樣被稱為賢者，
0x00207C  是多麼地令人厭惡。
0x002098  妳到底知不知道妳現在是站在什麼立場。
0x0020BE  我不是已經說了嗎？
0x0020D2  如果我還有什麼可以搶走的東西的話，
0x0020F6  那就請你們全部都搶走吧。
0x002110  但是我的心是不會讓你們奪走的。
0x002130  …………
0x00213A  這生存在聖瑟維艾斯的證據，
0x002156  不能讓你們奪走。
0x002168  …………
0x002172  …………
0x00217C  但是只要妳願意說那一句話，
0x002198  就可以拯救整個沉思的聖堂呀。
0x0021B6  以吾師之名，蠱惑人心的謠言退散吧。
0x0021DA  …………
0x0021E4  ……雖然妳說了可以奪走妳的一切。
0x002206  但是如果讓妳親眼看到聖瑟維艾斯的毀滅，
0x00222E  這樣妳也能夠承受嗎？
0x002244  看到孩子們哭泣喊叫，遭受蹂躪的慘狀，
0x00226A  這妳也能夠視若無睹嗎？
0x002282  …………
0x00228C  如果妳真的能夠忍受的話，那就證明了，
0x0022B2  妳果然已經被黑闇烙印，
0x0022E4  …………
0x0022EE  …………
0x0022F8  把她抓起來吧。
0x002308  請等一下呀，各位長老們。
0x002322  薛莉爾•崔諾瓦並沒有背叛的意思呀。
0x002346  不肖的傑萊特•羅弗利以自己的名譽做保，
0x00236E  絕無虛言。
0x00237A  羅弗利。
0x002384  你這個賢者裡的敗類又想說什麼……
0x0023A6  無論你們對聖瑟維艾斯美麗的舵手做什麼樣的
0x0023D0  處罰，也不能使她屈服呀。
0x0023EA  既然如此，不如就讓我來代替她承受處罰吧。
0x002414  如果要抓的話，就抓我這個敗類吧。
0x002436  你就暫時忍耐一下吧，鮑伯。
0x002452  你這傢伙……
0x002460  …………
0x00246A  別這樣啊，羅弗利先生。
0x002482  …………
0x00248C  …………
0x002496  妳呀，從以前開始就是這樣。
0x0024B2  總是把所有的委屈都攬在自己身上默默承受。
0x0024DC  …………
0x0024E6  不過，妳一直都對我很好呢。
0x002502  當所有人都排擠我的時候，
0x00251C  只有妳願意留在我身邊。
0x002534  那是因為……
0x002542  那是因為我是他的朋友對吧。
0x00255E  沒關係，因為這個原因也好。
0x00257A  羅弗利先生。
0x002588  他可真是有一個善良的後輩呀。
0x0025A6  不，應該說，是妳在回應他善良的想法吧。
0x0025CE  那麼，妳所應該面臨的命運，
0x0025EA  不應該是在那漆黑的牢獄之中，
0x002608  也不是在痛苦的折磨中喘息。
0x002624  …………
0x00262E  現在就去他的身邊吧。
0x002644  ……既然如此，為什麼你自己不回去呢。
0x00266A  要是我這個笨蛋學生回去的話，
0x002688  德涅西亞那個老頭大概會氣得昏倒吧。
0x0026AC  相反地，如果是妳回去的話，
0x0026C8  他一定會很開心的。
0x0026DC  …………
0x0026E6  那麼，我以我的名譽發誓。
0x002700  或者是你們認為我低賤的名譽，
0x00271E  不足以與奈比洛斯閣下相提並論嗎……
0x002742  雖然你們是高貴的賢者圓桌，
0x00275E  但是這些話，我也只讓你們聽一次而已唷。
0x002786  你不要後悔呀，羅弗利先生。
0x0027A2  這樣才叫做犧牲一切嘛。
0x0027BA  我怎麼可能是會後悔的人呢。
0x0027D6  你要逞強也只有現在了。
0x0027EE  總有一天，在被鎖練束縛的孤獨中，
0x002810  你的精神跟靈魂都會被消耗殆盡的。
0x002832  可惡，真是沒辦法，
0x002846  沒有現在就把你打倒在地上，還真是遺憾，
0x00286E  不過這也沒關係。
0x002880  雖然我不知道要等多久，
0x002898  但是我總有一天會重獲自由的。
0x0028B6  …………
0x0028C0  到時候就別怪我把你的邪惡行徑公諸於世，
0x0028E8  然後，就是要徹底地痛打你一頓了。
0x00290A  …………
0x002914  把他帶走。
0x002920  薛莉爾•崔諾瓦。
0x002932  不需要為我擔心，
0x002944  這一切都是我自願的行為。
0x00295E  …………
0x002968  羅弗利先生……
0x002978  帶著開朗的神情回到妳的故鄉吧。
0x002998  那裡有只有妳可以引導的孩子，
0x0029B6  那裡有需要妳協助的人們，
0x0029D0  請妳努力地去傳達，
0x0029E4  那些只有妳可以傳達的事情。
0x002A00  ……是的。
0x002A0C  什麼，你對我這個無聊的雜碎賢者，
0x002A2E  已經不耐煩到了極點嗎？
0x002A46  那就趕快把我關到那個黑暗的牢房裡去，
0x002A6C  讓我清閒一下吧。
