0x001A58  就在這被稱為愛爾梅納斯的大地一角，
0x002202  無論如何都想讓別人知道。
0x00221C  他是這麼想的。
0x00222C  呵呵，
0x002234  這口氣簡直就跟羅弗利先生完全一模一樣呢。
0x00225E  真是令人懷念的名字呀。
0x002276  那個從以前就作風尖銳又不按牌理出牌的他，
0x0022A0  現在過得好嗎？
0x0022B0  羅亞爾•聖提也真是個心胸寬大的地方哪。
0x0022D8  呵呵，真的是這樣呢。
0x0022EE  現在這樣的對話，
0x002300  好像又回到了從前呢。
0x002316  …………
0x002320  然而……
0x00232A  愛爾梅納斯其實正處於死亡的深淵裡。
0x00234E  曾經一望無際的清澈藍天，
0x002368  被黯淡的黑影覆蓋。
0x00237C  斂著翅膀的雛鳥們，
0x002390  在無法言喻的恐懼中顫抖。
0x0023AA  帕彌菈……？
0x0023B8  真的是非常抱歉。
0x0023CA  您一手所建立的輝煌成果，
0x0023E4  就被我這樣地毀棄在泥濘之中了……
0x002406  無論是誰都愛惜的這個純潔之盾，
0x002426  我卻沒有好好地保護她。
0x00243E  什麼……？
0x00244A  到底發生了什麼事！？
0x002460  …………
0x00246A  那妳在這裡的原因又是……
0x002484  …………
0x00248E  因為這裡是愛爾梅納斯所剩下的，
0x0024AE  極少數的城砦之一。
0x0024C2  因為這裡是極少數殘存的，
0x0024DC  如同樹葉間篩下的陽光般稀疏的歸處……
0x002502  這怎麼可能！？
0x002512  如今只能依靠著過去的回憶，
0x00252E  偏安在這個地方。
0x002540  將那破滅的中央校舍暫時拋在腦後。
0x002562  難道連羅亞爾•聖提也已經……
0x002580  …………
0x00258A  被「匍伏蔓延而來之物」給……？
0x0025AA  榮耀的賢者學舍──
0x0025BE  愛爾梅納斯的中央校舍－羅亞爾•聖提，
0x0025E4  如今已經成為漆黑的溝渠。
0x0025FE  奧爾菲老師以及席爾維斯老師都……
0x002626  跟那拼死守護著愛爾梅納斯的人們一同，
0x00264C  有些人迷失在混沌中，而另外一些人，
0x002670  則是向著混亂的世界展開旅行。
0x00268E  …………
0x002698  就這樣地……再也沒有回來嗎？
0x0026B6  妳說的是這個意思嗎，帕彌菈？
0x0026D4  …………
0x0026DE  難道集合了至高賢者們的聖地─愛爾梅納斯，
0x002708  就這樣地埋沒在混沌之中嗎？
0x002724  那……
0x00272C  的確是毫無造作的事實。
0x002744  縱然不願意去相信、無論多麼用心地去祈求。
0x00276E  這一切都是真的……
0x002782  真的非常抱歉……
0x002794  帕彌菈……
0x0027A0  一旦想起你的事情，
0x0027B4  那時候如果更努力一點的話……
0x0027D2  我真的盡了全力嗎？
0x0027E6  我已經投入了我的一切呀！
0x002800  ……別再懊悔了，帕彌菈。
0x00281A  然而……刻印在純潔之盾上的名字們，
0x00283E  最後仍然散落四方。
0x002852  過去的事情就讓它過去吧，
0x00286C  只要事後好好補救就可以了，
0x002888  也只有這樣了。
0x002898  …………
0x0028A2  多謝了。
0x0028AC  ……！！
0x0028B6  這珍貴的篝火終於被點燃了。
0x0028D2  因為你現在就這樣地出現在我們面前。
0x0028F6  …………
0x002900  父親……
0x00290A  你變得更有威嚴了呢。
0x002920  …………
0x00292A  呃、老師……
0x002938  這真是不幸中的大幸哪。
0x002950  …………
0x00295A  我回來了……
0x002968  回到故鄉來了。
0x002978  我所深愛的賢才呀。
0x00298C  能夠再次與你相見真是太好了。
0x0029AA  …………
0x0029B4  我這虛弱的老人現在仍然掌管著四大學級之一
0x0029DE  的指揮杖，然而，純潔之盾現在又燃起了希望
0x002A0C  的火光，所以我也可以放下這個重擔了。
0x002A32  羅馬諾華也相信你會回來，所以才暫時將這裡
0x002A5C  託付給我，之後就捨棄一切地去戰鬥了。
0x002A82  老師……
0x002A8C  你不願意接受嗎？
0x002A9E  這被稱為引導之手的名位。
0x002AB8  不……
0x002AC0  我當然沒有任何理由可以接掌這個位子。
0x002AEE  …………
0x002AF8  …………
0x002B02  我只不過是暫時代替而已。
0x002B1C  只代替到奧爾菲回來的那個時候。
0x002B3C  ……就算只有一天，
0x002B50  也要好好思考長遠的未來。
0x002B6A  剛剛說的話，你可要好好完成呀。
0x002B8A  老師您才是……
0x002B9A  突然就把這麼重的責任加到我身上。
0x002BBC  那麼……
0x002BC6  我這把老骨頭再待在這裡也沒有什麼用了。
0x002BEE  感謝的話，就留給那些孩子們跟你說吧。
0x002C14  那麼，你們兩個趕快來跟老師打個招呼吧。
0x002C3C  …………
0x002C46  是的，老老師……
0x002C58  是的。
0x002C60  你們幾個……都沒事啊。
0x002C78  原來都還活著呀。
0x002C8A  ……太好了。
0x002C98  …………
0x002CA2  你就是……
0x002CAE  被稱為純潔之盾首席的那一位……
0x002CCE  展開了漫長的、真的很漫長的旅行……
0x002CF2  ……妳是瑟希莉絲，對吧？
0x002D0C  果然如我所猜想的一樣，
0x002D24  有著很明亮的眼神呢。
0x002D3A  啊……
0x002D42  我、我一直都很想跟你見面……
0x002D60  我一直這麼期待著……
0x002D76  從好久以前……
0x002D86  啊啊……
0x002D90  在決定要回愛爾梅納斯的時候，
0x002DAE  我也是這麼想的。
0x002DC0  老師……
0x002DCA  靠著自己的努力來到這裡，
0x002DE4  這樣已經很了不起了。
0x002DFA  呃……感謝您的讚賞。
0x002E10  總之……能見面真是太好了。
0x002E2C  ……是！
0x002E36  接著……你是伊里安。
0x002E4C  伊里安•維奈特。
0x002E5E  …………
0x002E68  初次見面……！
0x002E78  是啊，的確是初次見面……
0x002E92  我……那個、我……
0x002EA6  …………
0x002EB0  我、我……
0x002EBC  ……今後就一起加油吧！
0x002ED4  ……是的！
0x002EE0  請您多多指教……！
0x002EF4  …………
0x002EFE  …………
0x002F08  別擔心哪，帕彌菈。
0x002F1C  只要有這些孩子們在，
0x002F32  而且妳也還在這裡的話，
0x002F4A  再加上老師也還健在的話，
0x002F64  純潔之盾就會延續下去。
0x002F7C  ……是啊。
0x002F88  …………
0x002F92  你跟他們的談話，
0x002FA4  真的給了他們信心啊。
0x002FBA  …………
0x002FC4  老師……
0x002FCE  他們的心已經結合在一起了。
0x002FEA  而且是以你為中心。
0x002FFE  …………
0x003008  …………
0x003012  …………
0x00301C  感謝那高潔的虛空之翼。
0x003034  最後殘存的孩子們呀，
0x00304A  擁有澄澈雙眸的精靈呀。
0x003062  經過了悠久的時空，
0x003076  現在，正是實現誓願的時候。
0x003092  …………
0x00309C  從那一望無際蒼天的彼方。
0x0030B6  從那海神的晦暗深淵之中。
0x0030D0  …………
0x0030DA  連結我們心中的信念。
0x0030F0  即使將走上的會是一條沒有終點的，
0x003112  痛苦的道路也好。
0x003124  這化作保衛故鄉的盾的誓願。
0x003140  是我們所追求的，是我們要實現的。
0x003162  …………
0x00316C  我們相信。
0x003178  懸念這世界邊緣的學舍的心中
0x003194  將刻上這誓言，永遠地。
0x0031AC  我衷心地……
0x0031BA  對於您的歸來，
0x0031CA  對於您所伸出的援手……
0x0031E2  致上最深的謝意。
