0x001A10  唉呀唉呀，這不是露弗鐸可勞家的千金嗎。
0x002BA4  也沒辦法擊碎純潔之盾堅定的意志。
0x002BC6  …………
0x002BD0  我們也只有做好應有的準備，
0x002BEC  而戰果如何，就不是我們可以預料的了。
0x002C1A  那麼就在兩週後，
0x002C2C  讓他們見識我們葛斯貝布洛的力量。
0x002C4E  遵命……
0x002C58  如果不讓那稚氣未脫的孩子們，
0x002C76  受一點挫折的話。
0x002C88  ……我想他是不會有所成長的。
0x002CA6  我不這麼認為。
0x002CB6  謬斯家可是位列貝爾鐸可勞大公的大世家呀。
0x002CE0  …………
0x002CEA  一旦時機來到，
0x002CFA  他可能會是與我不相上下的對手呢。
0x002D1C  他可不是妳可以冒犯的人呀。
0x002D38  雖然這麼說，
0x002D46  但我當時可是很努力地想要謹守禮節呀。
0x002D6C  哈哈，原來是這樣啊。
0x002D82  葛斯貝布洛裡所集結的，
0x002D9A  是一群忠肝義膽的勇敢劍士。
0x002DB6  現在由那個孩子領導著，
0x002DCE  也許會讓他們展現出全新的風貌吧。
0x002DF0  難道妳覺得他的才能就只有這樣嗎？
0x002E12  或許是吧。
0x002E1E  …………
0x002E28  您有注意到嗎？
0x002E38  剛才那孩子的眼神，
0x002E4C  就連一瞬間也沒有鬆懈過。
0x002E66  …………
0x002E70  雖然這麼說實在很不甘心，
0x002E8A  現在我們已經回到了這白皙的城砦……
0x002EAE  但是對伊諾森提雅現在的實力來說，
0x002ED0  不論有怎樣的計畫，也都只是空想罷了。
0x002EF6  因此。
0x002EFE  懇求您能夠領導我們，
0x002F14  迎向那即將來臨的勝利。
0x002F2C  當然，正這是我打算要做的。
0x002F48  ……我先告退了。
0x002F5A  《並不是只有優雅而已，
0x002F72  　那堅定的心靈，高尚的潔操，
0x002F90  　強烈的熱情都和她的父親一樣。》
0x002FB2  《這是因為老師不僅僅是教導我，
0x002FD2  　而且對他的女兒也沒有分別地，
0x002FF2  　嚴格地去教導嗎……》
0x00300A  看來他是失敗了嘛。
0x00301E  的確。
0x003026  不過那孩子的口才已經算是很好的了。
0x00304A  羅弗利。
0x003054  不過，那也是因為他碰上的對手是帕彌菈呀。
0x00307E  他就算使出了全力也贏不了吧。
0x00309C  到去年為止，
0x0030AA  她可是連被辯成平手的紀錄都沒有呢。
0x0030CE  對帕彌菈來說，
0x0030DE  無論哪個孩子都是很可愛的吧。
0x0030FC  嗯，是啊。
0x003108  純潔之盾失去了奧爾菲，現在的帕彌菈，
0x00312E  就像年幼的伊諾森提雅的母親一般。
0x003150  不管有什麼理由，一旦自己的小孩被侮辱，
0x003178  沒有任何父母會不生氣吧？
0x003192  嗯嗯，說不定就是這樣……
0x0031AC  而且除了那個原因之外，
0x0031C4  她應該也很關心希里鄔司這個少年吧。
0x0031F0  這麼說，我們那如同金色黃昏的朋友啊，
0x003216  真的是教出了相當優秀而美麗的三人組呢。
0x00323E  光是想想看要怎麼去做，
0x003256  就已經讓我感覺辛苦到不行了。
0x003274  但是在那三個人之中，其中兩個人已經離開了
0x00329E  ，伊諾森提雅的重責大任，
0x0032B8  就要由帕彌菈一個人來擔當了。
0x0032D6  反正，要好好努力減輕她的負擔，
0x0032F6  這應該是對恩師情深意重的你的工作呀。
0x00331C  畢竟這些孩子們的資質也很好嘛。
0x00333C  而且各式各樣的個性都有，
0x003356  你可以隨便選幾個來教啊。
0x003370  那你為什麼不接下純潔之盾的指揮杖咧？
0x003396  羅弗利。
0x0033A0  老師應該有問過你吧？
0x0033B6  如果有那個可能的話，在他沒說之前，
0x0033DA  我應該就已經逃得遠遠的了吧。
0x0033F8  你應該知道吧？　所謂的接下指揮杖，
0x00341C  就表示要當四大學級的領導，
0x003438  這種苦悶到了極點的工作呀。
0x003454  …………
0x00345E  總之，如果真的要我接手，我是不會答應的。
0x003488  何況老師他是一丁點兒要找我接棒的意思都沒
0x0034B2  有啊。
0x0034BA  什麼？
0x0034C2  只不過就是這樣而已，就是這樣而已。
