0x0015BC  妳，現在還在害怕報仇的事情嗎？
0x001CEC  妳不要太過分了。
0x001CFE  帕彌菈學姊……
0x001D0E  帕彌菈……
0x001D1A  妳還是趕快離開吧，羅沙麗亞。
0x001D38  我是不會允許妳們兩個這樣繼續爭執下去的。
0x001D62  感謝妳的寬恕。
0x001D72  …………
0x001D7C  那個人好像想要讓伊諾森提雅變得四分五裂。
0x001DA6  我不會原諒她的，絕對不會……
0x001DC4  所謂的先知，並不能預見所有的事情。
0x001DE8  如果是這樣的話，那為什麼……
0x001E06  為什麼要惡意引發這種混亂呢！？
0x001E26  ……因為，那是羅沙麗亞的意志呀。
0x001E48  如果妳心裡有著不想輸給羅沙麗亞的心情。
0x001E70  如果妳不希望這裡變得四分五裂的話，
0x001E94  那就照著這樣的想法去努力吧。
0x001EB2  可是！！
0x001EBC  都沒有人願意好好聽我說的話！
0x001EDA  羅沙麗亞用她那預知的能力，
0x001EF6  為了欺騙大家所說出的話……
0x001F12  不可能會實現的……！
0x001F28  說不定真的是這樣吧。
0x001F3E  瑟希莉絲，若是在正式對決前就放棄了希望，
0x001F68  那就不會有勝利的可能。
0x001F80  如果不好好地付出努力與犧牲去挑戰，
0x001FA4  又怎麼會勝利呢？
0x001FB6  不會成功的，絕對不可能！！
0x001FD2  對手可是有預知能力的她呀！！
0x001FF0  無論是誰的未來，都可以預見的她呀！！
0x002016  要我代替羅沙麗亞再說多少次都可以。
0x00203A  所謂的先知，並不能預見所有的事情。
0x00205E  可是那……
0x00206A  那是，嗚，
0x002076  只有帕彌菈學姊才有辦法講出來的話呀。
0x00209C  …………
0x0020A6  為什麼她要讓夏朧受到這樣的驚嚇！？
0x0020CA  而且妳為什麼放任她做這樣的事情！！！
0x0020F0  …………
0x0020FA  妳曾經說過妳想保護純潔之盾。
0x002118  嗚……
0x002120  但是一味只說著要保護的大話，
0x00213E  是沒辦法保護什麼東西的。
0x002158  聽到別人告訴妳什麼，就照著別人說的去做。
0x002182  如果被讚美的話就很開心，
0x00219C  被責罵的話就會失意。
0x0021B2  …………
0x0021BC  在流逝的每個日子裡，只是不斷地在懊悔，
0x0021E4  只是想在快樂的時光中，
0x0021FC  一會兒開心一會兒憂慮，
0x002214  靠著別人的引導，依賴著別人生活。
0x002236  而這樣生活的妳，又能夠做什麼呢？
0x002258  因為害怕失敗，所以總是裹足不前，
0x00227A  妳這樣又是為了什麼？
0x002290  ……！！！
0x00229C  如果不把自己想守護什麼的心情，
0x0022BC  確實地表達出來，又怎麼會有人回應妳呢。
0x0022E4  不把妳的思念清楚地表達出來，
0x002302  別人又怎麼知道該如何回應妳呢。
0x002322  帕彌菈學姊……
0x002332  …………
0x00233C  就算是羅沙麗亞，也知道這個道理吧。
0x002360  如果就算什麼都不做，
0x002376  一切也可以步上正軌的話，那該有多好呀。
0x00239E  啊……
0x0023A6  而且羅沙麗亞的眼神裡也表示著：
0x0023C6  「如果因為這樣微小的事情也會使純潔之盾崩
0x0023F0  潰的話，
0x0023FA  那不如不要珍惜比較好。」
0x002414  …………
0x00241E  「否則那些拿著也許立刻就會毀壞的盾去戰鬥
0x002448  的人們，他們又將會如何。」
0x002464  「而我們應該好好愛護的故鄉─愛爾梅納斯，
0x00248E  又將會如何？」
0x0024A4  啊，啊啊……
0x0024B2  ……我，我。
0x0024C0  我是……
0x0024CA  瑟希莉絲……！！
0x0024DC  …………
0x0024E6  《老師……
0x0024F2  　希望你能夠好好地守護她……》
0x002512  老師……
0x00251C  瑟希莉絲……？
0x00252C  我……
0x002534  我已經連帕彌菈學姊的話都……
0x002552  沒有辦法相信了。
0x002564  …………
0x00256E  我不能理解呀……！
0x002582  無論要怎樣做才好，
0x002596  或是那些人的想法又是怎樣也好……！
0x0025BA  ……瑟希莉絲。
0x0025CA  呃，嗚……
0x0025D6  妳來到這裡的這段時間，都學到了些什麼？
0x0025FE  帕彌菈、奧吉爾、羅沙麗亞，
0x00261A  他們又都學到了些什麼？
0x002632  …………
0x00263C  在妳面前的人們，什麼樣的心思都可能會有，
0x002666  可是要知道他們心中究竟想著些什麼，
0x00268A  那是辦不到的。
0x00269A  不能理解的事情，當然也就會有很多。
0x0026BE  …………
0x0026C8  然而，雖然這麼說，但無論如何，
0x0026E8  就像不能理解的事情和無法知道的事情有很多
0x002712  ，也正因為如此，
0x002724  所以可以做到的事情也不少。
0x002740  只要照妳心中想的去做就好了。
0x00275E  不要只是讓某個人引導著妳去做什麼事情，
0x002786  瑟希莉絲，只要照妳心中想的去做就好了。
0x0027AE  照我想的……
0x0027BC  沒錯。
0x0027C4  不用害怕任何事情。
0x0027D8  之前我也說過了，因為我會保護妳的。
0x0027FC  老師……
0x002806  妳瞭解了嗎……
0x002816  就算因為痛苦而困擾，就算已經失敗了也好，
0x002840  都並不表示任何事情的結束。
0x00285C  但若只想著我什麼都不懂，所以不知道該怎麼
0x002886  做而放棄的時候，才是一切真正結束的時候。
0x0028B0  …………
0x0028BA  既然要在愛爾梅納斯追求人生的目標，
0x0028DE  就只有這一點千萬不可以忘記。
0x0028FC  ……是的。
