0x000644  愛爾梅納斯呀……我衷心的祈求您能夠包容這些幼小的孩子們。
0x000D28  通往中央校舍的海路只有一條，那是通過不動的橋墩，然後與西方外海連接的航路。
0x000D74  據說，對那些懂得如何駕船的賢者來說，他們比較偏好利用海洋往來各地而不是陸地。
0x000DCC  位在相當於從水路通往學舍的玄關位置。
0x000DF2  棲息著眾多鳥類的燈塔有十二座，屹立在險峻的斷崖上守護著來往的船隻。
0x000E36  要成為羽翼之長的人，就是在這裡接受稱號。
0x000E60  那是擁有卓越的航海技術與操船技巧的證明……
0x000E8C  同時，那也代表著擁有能安全迎接朋友歸來，以及將他們送往遠方的偉大力量的稱號。
0x000EDA  拉傑尼斯海峽
0x000EEC  在不動橋墩內側的海路關卡。
0x000F08  早春時分，當融雪流入內海的時候，這裡會出現足以把大帆船一舉吞沒的大型瀑布，那是相當壯麗的景觀。
0x000F68  就算在不是瀑布的季節，這附近的海流也常常因為水與溫度差的變化而暗潮洶湧，
0x000FB2  就算是老練的駕船者也常在這裡傷透了腦筋。
0x000FDC  所以不動的橋墩是愛爾梅納斯裡船隻們最後的轉航點，這也可以說是一種不成文規定吧。
0x00102C  不動的橋墩
0x00103C  身處通往愛爾梅納斯中央海路的要衝，擁有悠久歷史的「賈拉哈諾夫」大橋，橫跨著這道極為狹窄的海峽。
0x00109C  由黃昏的矮人們建造的堅固大橋，在四百年來的不斷增修之中，使海峽本身變成了龐大的城砦。
0x0010F2  直到現在，在風平浪靜的時候，也會舉行季節性的慶典，長達十日的石雕宴會。
0x00113A  四大學級之一的葛斯貝布洛與聚集在其中的重戰士們，駐守在不動的橋墩，
0x00117E  也許，就是在這日復一日地與歷史遺產生活當中，培養出了貫徹道義與最初志向的信條。
0x0011CE  沉思的聖堂
0x0011DE  站在愛爾梅納斯光榮的四大學級頂點，聖瑟維艾斯所居住的北方守護堂。
0x001220  由於它豐富的資源與秘藏的古老遺產，學舍裡過去也曾為此發生不少弱肉強食的爭奪，秘密的佔領作戰不斷地重複發生。
0x00128C  那充滿光輝的沉思聖堂的歷史，其實也就是持續著冷血的侵略與封殺的黑闇歷史。
0x0012D6  巴雷歐斯荒原
0x0012E8  率領著暴風與雷電的雙頭龍─迪布羅瑪長眠的所在。
0x001318  悼念著祂的死亡的風之精靈，化作了狂風，如今也在此地呼嘯著。
0x001354  風之丘
0x001360  內海的冷氣與大陸的暖氣交會而產生的強風，一定會經過這裡。
0x00139A  利用這裡的風來與遠方的人們傳遞言靈，是孩子們之間廣為流行的遊戲。
0x0013DC  海神祠
0x0013E8  祈禱內海安寧的信仰中心。內海與許多湖泊透過地下水道而連接。
0x001424  據說這種信仰的開端，是過去相信著海神的怒氣將會引發恐怖聲響的人們，為了安撫海神的情緒而奉上祭品。
0x001486  然而，現在人們反而相信能聽到那種奇特的聲音是一種吉兆了。
0x0014C0  白皙的城砦
0x0014D0  四大學級的居城之一。在羅亞爾•聖提損失了大部分戰力的純潔之盾，暫時放棄了這裡，而撤退到了艾爾貝洛瓦。
0x001536  在湖中映照著那美麗的白色倒影，不知從何時開始，這裡被人稱為安蒂米昂。
0x00157C  在它的南北兩方有著相當長的大橋，顯示它是愛爾梅納斯東方的要衝。
0x0015BC  天秤洞
0x0015C8  是行商或是交易維生的人們心目中的聖地，也是他們敬畏的地方。
0x001604  大圖書館
0x001612  在久遠的過去，被愛爾梅納斯的前身「帝都」修佩爾•寧菲司所建造。
0x001652  不但有著數量相當龐大的藏書，也有人說在那圖書館的黑暗深處，還有不少祕藏的書籍等待著人們去發現。
0x0016B2  聖者墳墓
0x0016C0  是歷代被冠上某種事物「之長」名銜的賢者們，被睛鞭聖者而長眠的地方。
0x001704  在墓前獻花的人群絡繹不絕，因為像這樣地去接近他們，可以讓自己感受到這些賢者們生前的品德與力量。
0x001764  另外還有一種說法，在這些聖者們出生後到死亡前的這段時間裡，所擁有的東西，會有一小部份分給來參拜的人們。
0x0017CC  答雷歐斯的地下都市
0x0017E4  深埋了許多令人不禁眼睛為之一亮的雕刻藝術品。
0x001812  在地底深處盤根錯節，雖然從地面上看不出來，但是在地下，確實佔有相當大的空間。
0x001860  雖然也曾經被利用為迷宮探險的教學場地，不過，現在它的任務已經圓滿達成，之後就一直過著安靜的日子。
0x0018C2  肯涅歐涅的樹海
0x0018D6  在大白天裡也十分陰暗的茂密森林。
0x0018F8  在這個地方，應該會讓人深深地感覺到自己有多渺小吧。
0x00192C  然而，在樹海中潛伏的許多危險，對冒險者們來說，說不定是一種不可或缺的刺激。
0x001978  艾爾貝洛瓦
0x001988  純潔之盾伊諾森提雅的發祥地，開祖德涅西亞•露弗鐸可勞出生長大的故鄉。
0x0019CE  當他們以四大學級的身分入主了「白皙的城砦」安蒂米昂之後，這裡就變成了一個讓他們輕鬆一下，或是用來靜養的別莊。
0x001A3C  由於從內部匍伏蔓延而出的混沌攻陷了羅亞爾•聖提，四大居城同時也受到了威脅。
0x001A88  在後來被稱為「羅亞爾•聖提撤退戰」的戰役中，失散了許多成員的純潔之盾，決定從那規模龐大的城砦撤退。
0x001AEC  而選擇來到這遠離愛爾梅納斯中樞的艾爾貝洛瓦避難，並蓄積實力。
0x001B2A  赫爾梅思草原
0x001B3C  在一望無際的草原中，隱藏著許多小動物。
0x001B64  人類非常地清楚在各式各樣的家族之間有著深遠的牽絆。
0x001B98  而且，也清楚地見證了這世上發生的各種悲慘情事。
0x001BC8  因此，在偶爾能感受到溫馨的這裡，不是特別讓人心情舒暢嗎？
0x001C02  瑟拉的水鄉
0x001C12  散佈著大大小小湖泊的水鄉瑟拉。
0x001C32  這裡，除了可以在湖中遊覽之外，也可以進行垂釣、灑網、操船、水中行軍等等教學。
0x001C80  對孩子們來說，算是數一數二受歡迎的戶外教學地點了。
0x001CB4  達洛瓦納濕原
0x001CC6  在這裡有著複雜的生態系統，同時充滿著精靈的力量，這一切，本身就是良好的教材，同時也是一個鳥類的聖地。
0x001D2C  呼喚著小石頭的名字、為還屹立著的樹木取名，在潺潺水聲中尋找精靈的話語……
0x001D76  聽說那些敏感的孩子們可以在這裡感受到不少大人們所無法感受到的事物。
0x001DBA  落星丘
0x001DC6  在這裡，彷彿伸出手指就可以碰觸到那星光的閃爍……
0x001DF8  仰望這樣的夜色，孩子們就可以了解到對黑闇的敬畏以及光明的虛幻了吧。
0x001E3C  從古到今，將此地視為一個教學環節而來訪的學級，不曾中斷。
