0x00151A  集中（常駐）
0x001A58  魔法統馭（常駐）
0x001A6E  提高集中力，增加【ＭＰ自然回復】的速度。
0x001A98  相對地，將會降低【ＨＰ自然回復】的速度。
0x001AC2  鷲眼（常駐）
0x001AD4  雖然作用時間很短，
0x001AE8  但是可以讓自己的視野範圍比獵人還要廣。
0x001B18  ★劍士系專用技能。
0x001B2C  螺旋箭（使用）
0x001B40  雖然射程不長，
0x001B50  但是可以給予目標比普通攻擊還要大的傷害。
0x001B82  ★獵人系專用技能。
0x001B96  多重箭（使用）
0x001BAA  一次攻擊中射出複數的箭矢。
0x001BC6  應有的僵硬時間在攻擊後一併計算。
0x001BF0  ★獵人系專用技能。
0x001C04  再生（常駐）
0x001C16  提升【ＨＰ自然回復】的速度。
0x001C34  銀箭（常駐）
0x001C46  提升物理攻擊的【威力】與【命中率】。
0x001C74  ★獵人系專用技能。
0x001C88  箭雨（使用）
0x001C9C  向著高空射出許多箭矢，
0x001CB4  讓它們從目標群的上方如雨一般地落下攻擊。
0x001CE6  ★獵人系專用技能。
0x001CFA  毒箭（使用）
0x001D0C  放出有毒的箭矢。
0x001D1E  如果攻擊命中的話，
0x001D32  將會給予目標【毒】的ＢＡＤ狀態，
0x001D54  在一定時間內持續降低目標的ＨＰ。
0x001D7E  ★獵人系專用技能。
0x001D92  狙擊（使用）
0x001DA4  對位在攻擊範圍極限內的目標，
0x001DC2  在精確的計算之後進行狙擊。
0x001DE6  ★獵人系專用技能。
0x001DFA  奇術剋星（使用）
0x001E10  放出附有魔力的箭矢，對目標造成【ＭＰ】上的傷害。
0x001E42  並且還會給予目標【黑暗】的ＢＡＤ狀態，
0x001E6A  以縮小目標的視野。
0x001E86  ★獵人系專用技能。
0x001E9A  墮落召喚（使用）
0x001EB2  減少目標的魔法防禦力。
0x001ED2  ★獵人系專用技能。
0x001EE6  劇毒陷阱（使用）
0x001EFC  設下陷阱，對周圍的角色給予【猛毒】的ＢＡＤ狀態，
0x001F2E  在一定時間內持續降低目標的【ＨＰ】值。
0x001F56  陷阱對自己以外的角色都有效。
0x001F7C  ★獵人系專用技能。
0x001F90  破甲箭（使用）
0x001FA4  降低目標的物理裝甲。
0x001FC2  ★獵人系專用技能。
0x001FD6  混亂的樊籠（使用）
0x001FEE  設下陷阱，對周圍的角色給予【減速】的ＢＡＤ狀態，
0x002020  可以降低目標的移動速度。
0x00203A  陷阱對自己以外的角色都有效。
0x002060  ★獵人系專用技能。
0x002074  隱匿（常駐）
0x002086  提升對應於物理攻擊的【迴避率】。
0x0020A8  穿心箭（常駐）
0x0020BC  發揮弓箭技術的精髓，提升物理攻擊的【命中率】。
0x0020F4  ★獵人系專用技能。
0x002108  復原（使用）
0x00211A  一定機率下，
0x002128  解除一定範圍內我方角色的各種【ＢＡＤ】狀態。
0x002156  雖然很少，但是也會回復【ＨＰ】值。
0x00217E  祝福（常駐）
0x002190  提升【ＭＰ自然回復】的速度。
0x0021AE  治癒（使用）
0x0021C0  少量回復指定地點一定範圍內的我方角色體力。
0x0021F0  神聖的洗禮（使用）
0x002208  以我方為基準，發出神聖的光輝，攻擊四周的敵人。
0x002238  隱者之護（常駐）
0x00224E  提升對應於魔法攻擊的【障壁】與【精神耐性】。
0x00227C  痊癒（使用）
0x00228E  以某一個我方角色為中心，
0x0022A8  恢復周圍的我方角色【ＨＰ】。
0x0022CE  ★僧侶系專用技能。
0x0022E2  高等治療（使用）
0x0022F8  雖然需要詠唱很長的時間，
0x002312  但是可以大量地回復目標的【ＨＰ】。
0x00233E  ★僧侶系專用技能。
0x002352  酸蝕之鍊（使用）
0x002368  在目標的腳底引發強酸性瓦斯，
0x002386  對一定範圍內的敵人施加魔法攻擊。
0x0023A8  同時，給予敵人【物攻低下】的ＢＡＤ狀態。
0x0023DA  ★僧侶系專用技能。
0x0023EE  混沌話語（使用）
0x002404  對一定範圍內的敵人加以詛咒。
0x002422  同時給予敵人【精神枷鎖】的ＢＡＤ狀態，
0x00244A  在一定時間內持續降低敵人的【ＭＰ】。
0x002478  ★僧侶系專用技能。
0x00248C  真理信念（常駐）
0x0024A2  提升對應於物理攻擊的【裝甲】與【身體耐性】。
0x0024D8  ★僧侶系專用技能。
0x0024EC  念力震撼（使用）
0x0024FE  對於遠距離的目標施加物理攻擊。
0x00251E  闇之鐘音（常駐）
0x002534  提升【ＨＰ自然回復】與【ＭＰ自然回復】速度。
0x002562  血之祭典（使用）
0x002578  藉由長時間的詠唱與消耗自身的【ＭＰ】，
0x0025A0  回復身旁的我方角色【ＭＰ】。
0x0025C6  ★僧侶系專用技能。
0x0025DA  黑暗之力（使用）
0x0025F0  放出充滿著黑闇力量的一擊。
0x00260C  給予目標【精神枷鎖】的ＢＡＤ狀態，
0x002630  在一定時間內持續降低目標的【ＭＰ】。
0x00265E  ★僧侶系專用技能。
0x002672  業火之魔劍（使用）
0x00268A  用魔法加強目前裝備的武器，
0x0026A6  給予目標【物攻上升】的ＧＯＯＤ狀態。
0x0026CC  心靈的縫隙（使用）
0x0026E4  使目標的心靈力量降低，
0x0026FC  給予【魔防低下】的ＢＡＤ狀態。
0x00271C  千里眼（使用）
0x002730  藉由魔力的輔助，
0x002742  給予【千里眼】的ＧＯＯＤ狀態，
0x002762  增加角色的視野。
0x002774  風之呢喃（使用）
0x00278A  在敵人周圍捲起砂塵影響目標的集中力。
0x0027B0  給予【魔攻低下】的ＢＡＤ狀態，
0x0027D0  一定時間內降低目標的魔法攻擊力。
0x0027F2  咒力驅散（使用）
0x002808  可以解除目標以及他四週角色的ＧＯＯＤ狀態，
0x002834  雖然量很少，但還是會回復【ＭＰ】。
0x002860  ★魔法師系專用技能。
0x002876  生命泉源（使用）
0x00288C  消耗大量的【ＭＰ】，
0x0028A2  迅速地回復附近的我方角色【ＨＰ】。
0x0028C6  意志屏障（使用）
0x0028DC  穿上一層阻擋魔力的鎧甲，
0x0028F6  提升抵抗魔法攻擊的【障壁】與【精神耐性】。
0x002922  幻影加持（使用）
0x002938  讓身體的動作更為敏捷，
0x002950  可以用比較快的速度行動。
0x00296E  大地滋養（使用）
0x002984  從腳邊生長出擁有魔力的植物，
0x0029A2  回復周圍的我方角色【ＭＰ】。
0x0029C8  ★魔法師系專用技能。
0x0029DE  岩之毒牙（使用）
0x0029F4  從大地的裂縫中射出岩石構成的牙狀物攻擊敵人。
0x002A22  同時，給予目標【毒】的ＢＡＤ狀態，
0x002A46  在一定時間內會持續降低目標的【ＨＰ】。
0x002A6E  萬物之母的祝福（使用）
0x002A8A  藉由接受大地力量的保護，
0x002AA4  給予目標【物防上升】的ＧＯＯＤ狀態，
0x002ACA  提升對物理攻擊的【裝甲】與【身體耐性】。
0x002AF4  大地束縛（使用）
0x002B0A  撕裂地面，以巨大的岩石攻擊目標，
0x002B2C  並且給予目標【猛毒】的ＢＡＤ狀態，
0x002B50  在一定時間內持續大幅地降低目標的【ＨＰ】。
0x002B84  ★魔法師系專用技能。
0x002B9A  大地調和（使用）
0x002BB0  藉由大地的氣息緩和所受到的魔法攻擊。
0x002BD6  給予【魔防上升】的ＧＯＯＤ狀態，
0x002BF8  提升抵抗魔法攻擊的【障壁】與【精神耐性】。
0x002C24  野性強悍（常駐）
0x002C3A  接受大地的保護，獲得強韌的肉體與精神，
0x002C62  提升對物理攻擊的【身體耐性】，
0x002C82  與抵抗魔法攻擊的【精神耐性】。
0x002CA2  氣流障壁（使用）
0x002CB8  用溫柔的氣流將身體包裹住，
0x002CD4  給予【物防上升】的ＧＯＯＤ狀態。
0x002CF6  主要是提升迴避能力。
0x002D0C  遲緩術（使用）
0x002D20  抑制目標周圍的單位活動，
0x002D3A  給予【減速】的ＢＡＤ狀態。
0x002D56  【減速】會降低移動速度，
0x002D70  並且延長普通攻擊與技能的準備時間和僵硬時間。
0x002DA6  ★僧侶系專用技能。
0x002DBA  雷擊術（使用）
0x002DCE  召喚落雷攻擊廣範圍的敵人，
0x002DEA  雖然攻擊力並不是很高，
0x002E02  但這是詠唱速度非常快的一個魔法。
0x002E28  溫柔的微風（使用）
0x002E40  以平靜的微風包圍四周，
0x002E58  不分敵我地回復少量的【ＨＰ】。
0x002E78  雲端漫步（使用）
0x002E8E  藉由風的力量加持，增加【移動力】。
0x002EB2  捷徑（常駐）
0x002EC4  藉由風的力量的加持，
0x002EDA  減少退場的時候所需的準備時間。
0x002EFA  淚之風暴（使用）
0x002F10  以敵方單位為目標引發小型的風暴，
0x002F32  在降低【ＭＰ】的同時，
0x002F4A  給予【魔防低下】的ＢＡＤ狀態。
0x002F72  ★魔法師系專用技能。
0x002F88  凍結之鞭（使用）
0x002F9E  以極低溫的水之鞭攻擊敵人。
0x002FBA  給予【凍傷】的ＢＡＤ狀態，
0x002FD6  使目標行動遲緩。
0x002FE8  極寒之槍（使用）
0x002FFE  製造出冰柱，攻擊複數的目標。
0x00301C  魔力回復（使用）
0x003032  在漫長的詠唱之後，可以稍微回復失去的【ＭＰ】。
0x00306A  ★魔法師系專用技能。
0x003080  急速冷凍（使用）
0x003096  以劇烈的寒氣包圍四周的一切，
0x0030B4  將他們全部凍結。
0x0030C6  同時，給予目標【物攻低下】的ＢＡＤ狀態。
0x0030F8  ★魔法師系專用技能。
0x00310E  法師之護（常駐）
0x003124  提升【ＭＰ】的上限。
0x00313A  霜刃狂舞（使用）
0x003150  以冰的結晶攻擊範圍內所有的角色。
0x003172  同時給予所有目標【凍傷】的ＢＡＤ狀態。
0x00319A  寒氣之手（使用）
0x0031B0  用由水所形成的觸手攻擊四周所有的敵人。
0x0031D8  並且給予所有目標【詛咒】的ＢＡＤ狀態，
0x003200  在一定時間內，會持續大幅地降低目標的【ＭＰ】。
0x003230  炎之矢（使用）
0x003244  讓燃燒的火焰猛烈地撞擊目標，給予傷害。
0x00326C  熾熱（常駐）
0x00327E  提升魔力，增加魔法攻擊的【威力】。
0x0032AA  ★魔法師系專用技能。
0x0032C0  激情爆破（使用）
0x0032D6  製造大爆炸，不分敵我地給予傷害。
0x0032F8  支配火焰（常駐）
0x00330E  激發出潛在的魔力，
0x003322  讓魔法攻擊的【威力】提升到最大限度。
0x003352  ★魔法師系專用技能。
0x003368  新星振盪（使用）
0x00337E  雖然射程短、詠唱時間長，
0x003398  但是可以造成很大的傷害。
0x0033B2  加速術（使用）
0x0033C6  活化目標附近的角色動作，
0x0033E0  給予【加速】的ＧＯＯＤ狀態。
0x0033FE  【加速】會提升移動速度，
0x003418  並且縮短普通攻擊與技能的準備時間和僵硬時間。
0x00344E  ★僧侶系專用技能。
0x003462  流星雨（使用）
0x003476  從高空中召喚燃燒的火焰降落，
0x003494  以它的熱氣將周圍的敵人燃燒殆盡。
0x0034BE  ★魔法師系專用技能。
0x0034D4  突襲者（常駐）
0x0034E8  提升物理攻擊的【命中率】。
0x003504  伊可的詛咒
0x003510  （使用）
0x00351E  從地底召喚出名為「伊可」的精靈，
0x003540  降低自身以外的所有角色的【ＭＰ】。
0x003564  並且給予所有目標【詛咒】的ＢＡＤ狀態。
0x00358C  在一定時間內會持續降低目標的【ＭＰ】。
0x0035B4  氣力的讚歌（使用）
0x0035CC  給予【全體強化】的ＧＯＯＤ狀態，
0x0035EE  雖然只有幾秒鐘的時間，
0x003606  但是可以發揮出具有爆發性的攻擊力。
0x00362A  聖潔的安寧（常駐）
0x003642  少量地增加【Ｅｎｇａｇｅ　Ｔｉｍｅ】。
0x00366A  滅魂者（使用）
0x00367E  需要最長的詠唱時間，
0x003694  但也擁有最大破壞力的對單體魔法。
0x0036B6  重生之星（常駐）
0x0036CC  將【ＨＰ自然回復】的速度提升到最高極限。
0x0036F6  相對地，會劇烈地降低【ＭＰ自然回復】的速度。
0x003724  時間的牲禮（常駐）
0x00373C  降低自己因為【ＨＰ】歸零而必須退場時，
0x003764  所需要支付的【ＥｎｇａｇｅＴｉｍｅ】。
